,username,stage,dist_search_novel,type,dist_search_vis,dist_search_data
0,jmamaril25,1,1.0,novel,0.0,0.0
1,hihms,1,0.0,novel,0.0,0.0
2,ko68,1,1.0,novel,0.0,0.0
3,Nigogu,1,1.0,novel,0.0,0.0
4,alejosaur,1,1.0,novel,0.0,0.0
5,pahigueraf,1,1.0,novel,0.0,0.0
6,mdecloedt,2,0.0,novel,0.0,0.0
7,Jordan-Loeser,2,0.6666666666666667,novel,0.0,0.0
8,jmamaril25,2,0.4444444444444444,novel,0.0,0.0
9,noah-curran,2,0.0,novel,0.0,0.0
10,matson3,2,0.0,novel,0.0,0.0
11,littlex2015,2,0.0,novel,0.0,0.0
12,hihms,2,0.0,novel,0.0,0.0
13,zhao744,2,0.0,novel,0.0,0.0
14,ko68,2,1.0,novel,0.0,0.0
15,Nigogu,2,0.0,novel,0.0,0.0
16,olimita,2,1.0,novel,0.0,0.0
17,LauraMolina,2,0.0,novel,0.0,0.0
18,cglaitong,2,0.4285714285714286,novel,0.0,0.0
19,BrandonAvilanR,2,0.8333333333333334,novel,0.0,0.0
20,alejosaur,2,0.1999999999999999,novel,0.0,0.0
21,garayf,2,1.0,novel,0.0,0.0
22,xFortich,2,1.0,novel,0.0,0.0
23,davideperdomo,2,0.75,novel,0.0,0.0
24,trickyjuggler,2,0.75,novel,0.0,0.0
25,jsalcinar,2,1.0,novel,0.0,0.0
26,Anvido,2,0.0,novel,0.0,0.0
27,federgolo,2,1.0,novel,0.0,0.0
28,pahigueraf,2,0.8333333333333334,novel,0.0,0.0
29,mdecloedt,3,1.0,novel,0.0,0.0
30,Jordan-Loeser,3,1.0,novel,0.0,0.0
31,LukasMMarinovic,3,0.0,novel,0.0,0.0
32,jmamaril25,3,0.7272727272727273,novel,0.0,0.0
33,noah-curran,3,1.0,novel,0.0,0.0
34,bzin22,3,0.8,novel,0.0,0.0
35,AkaGar,3,0.0,novel,0.0,0.0
36,matson3,3,0.0,novel,0.0,0.0
37,ecottle,3,0.0,novel,0.0,0.0
38,littlex2015,3,1.0,novel,0.0,0.0
39,nbraunec,3,0.8,novel,0.0,0.0
40,hihms,3,0.0,novel,0.0,0.0
41,zhao744,3,0.0,novel,0.0,0.0
42,ko68,3,0.6,novel,0.0,0.0
43,gshowal,3,0.0,novel,0.0,0.0
44,Nigogu,3,1.0,novel,0.0,0.0
45,daapinzonch,3,1.0,novel,0.0,0.0
46,olimita,3,1.0,novel,0.0,0.0
47,Joacampora,3,0.8,novel,0.0,0.0
48,LauraMolina,3,0.0,novel,0.0,0.0
49,evilcucaracha,3,0.0,novel,0.0,0.0
50,JulianM96,3,0.0,novel,0.0,0.0
51,cglaitong,3,0.1666666666666666,novel,0.0,0.0
52,alejosaur,3,0.4285714285714286,novel,0.0,0.0
53,garayf,3,0.0,novel,0.0,0.0
54,sebcamacho1703,3,1.0,novel,0.0,0.0
55,xFortich,3,0.6666666666666667,novel,0.0,0.0
56,davideperdomo,3,0.75,novel,0.0,0.0
57,ayperezc,3,1.0,novel,0.0,0.0
58,anferoar96,3,0.0,novel,0.0,0.0
59,trickyjuggler,3,0.3333333333333333,novel,0.0,0.0
60,casc3798,3,0.0,novel,0.0,0.0
61,jsalcinar,3,0.0,novel,0.0,0.0
62,Anvido,3,0.6666666666666667,novel,0.0,0.0
63,federgolo,3,0.75,novel,0.0,0.0
64,pahigueraf,3,0.625,novel,0.0,0.0
65,mdecloedt,4,1.0,novel,0.0,0.0
66,Jordan-Loeser,4,1.0,novel,0.0,0.0
67,LukasMMarinovic,4,0.0,novel,0.0,0.0
68,whipplem123,4,0.0,novel,0.0,0.0
69,jmamaril25,4,0.9166666666666666,novel,0.0,0.0
70,viswapurdue,4,0.0,novel,0.0,0.0
71,noah-curran,4,0.0,novel,0.0,0.0
72,bzin22,4,0.0,novel,0.0,0.0
73,AkaGar,4,0.8571428571428572,novel,0.0,0.0
74,matson3,4,0.0,novel,0.0,0.0
75,ecottle,4,0.0,novel,0.0,0.0
76,littlex2015,4,1.0,novel,0.0,0.0
77,hihms,4,0.0,novel,0.0,0.0
78,snugghash,4,0.5,novel,0.0,0.0
79,zhao744,4,0.0,novel,0.0,0.0
80,ko68,4,0.8333333333333334,novel,0.0,0.0
81,GeoffYart,4,0.3333333333333333,novel,0.0,0.0
82,gshowal,4,0.0,novel,0.0,0.0
83,Nigogu,4,0.7142857142857143,novel,0.0,0.0
84,daapinzonch,4,0.8,novel,0.0,0.0
85,Orloffyeah,4,1.0,novel,0.0,0.0
86,DiegoAraque1207,4,0.0,novel,0.0,0.0
87,olimita,4,0.3333333333333333,novel,0.0,0.0
88,Joacampora,4,0.0,novel,0.0,0.0
89,LauraMolina,4,0.0,novel,0.0,0.0
90,JulianM96,4,0.0,novel,0.0,0.0
91,cglaitong,4,0.2857142857142857,novel,0.0,0.0
92,DaniCastel,4,1.0,novel,0.0,0.0
93,alejosaur,4,0.4285714285714286,novel,0.0,0.0
94,garayf,4,0.5,novel,0.0,0.0
95,sebcamacho1703,4,1.0,novel,0.0,0.0
96,xFortich,4,0.6666666666666667,novel,0.0,0.0
97,davideperdomo,4,0.375,novel,0.0,0.0
98,anferoar96,4,0.0,novel,0.0,0.0
99,trickyjuggler,4,0.0,novel,0.0,0.0
100,casc3798,4,1.0,novel,0.0,0.0
101,jsalcinar,4,0.8,novel,0.0,0.0
102,Anvido,4,0.5,novel,0.0,0.0
103,Jufcardenasmo,4,0.0,novel,0.0,0.0
104,federgolo,4,0.6,novel,0.0,0.0
105,diefrodriguezcha,4,0.0,novel,0.0,0.0
106,pahigueraf,4,0.5,novel,0.0,0.0
107,AkaGar,1,0.0,maps,0.86,0.0
108,AkaGar,1,0.0,maps,0.86,0.0
109,GeoffYart,1,0.0,maps,0.759,0.0
110,GeoffYart,1,0.0,maps,0.759,0.0
111,bzin22,1,0.0,maps,0.662,0.0
112,bzin22,1,0.0,maps,0.662,0.0
113,hihms,1,0.0,maps,0.001,0.0
114,hihms,1,0.0,maps,0.001,0.0
115,jmamaril25,1,0.0,maps,0.01,0.0
116,jmamaril25,1,0.0,maps,0.01,0.0
117,ko68,1,0.0,maps,0.01,0.0
118,ko68,1,0.0,maps,0.01,0.0
119,laurenjank,1,0.0,maps,0.01,0.0
120,laurenjank,1,0.0,maps,0.01,0.0
121,littlex2015,1,0.0,maps,0.622,0.0
122,littlex2015,1,0.0,maps,0.622,0.0
123,mdecloedt,1,0.0,maps,0.01,0.0
124,mdecloedt,1,0.0,maps,0.01,0.0
125,nbraunec,1,0.0,maps,0.939,0.0
126,nbraunec,1,0.0,maps,0.939,0.0
127,viswapurdue,1,0.0,maps,0.968,0.0
128,viswapurdue,1,0.0,maps,0.968,0.0
129,AkaGar,1,0.0,complete,0.635,0.0
130,AkaGar,1,0.0,complete,0.635,0.0
131,CampbellC2,1,0.0,complete,0.529,0.0
132,CampbellC2,1,0.0,complete,0.529,0.0
133,GeoffYart,1,0.0,complete,0.762,0.0
134,GeoffYart,1,0.0,complete,0.762,0.0
135,Ilyumzhinov,1,0.0,complete,0.5,0.0
136,Ilyumzhinov,1,0.0,complete,0.5,0.0
