,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type,Unnamed: 0.1,username1,username2,link1,link2,ssim,features2d,link1_change,link2_change,ssim_exp,group,Unnamed: 0.1.1,ssim_exp_scale
0,107,mdecloedt,mdecloedt,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
1,646,Jordan-Loeser,Jordan-Loeser,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
2,1184,LukasMMarinovic,LukasMMarinovic,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
3,1721,whipplem123,whipplem123,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
4,2257,SionHu,SionHu,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
5,2792,jmamaril25,jmamaril25,1.0,2.0,0.4102564102564102,1.0,1,0.5897435897435898,data,,,,,,,,,,,,,
6,3326,lennwgs,lennwgs,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
7,3859,viswapurdue,viswapurdue,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
8,4391,CampbellC2,CampbellC2,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
9,4922,noah-curran,noah-curran,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
10,5452,laurenjank,laurenjank,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
11,5981,bzin22,bzin22,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
12,6509,AkaGar,AkaGar,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
13,7036,matson3,matson3,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
14,7562,ecottle,ecottle,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
15,8087,littlex2015,littlex2015,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
16,8611,shivans,shivans,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
17,9134,nbraunec,nbraunec,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
18,9656,sanjitsama,sanjitsama,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
19,10177,Ilyumzhinov,Ilyumzhinov,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
20,10697,hihms,hihms,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
21,11216,snugghash,snugghash,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
22,11734,zhao744,zhao744,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
23,12251,aclipfel,aclipfel,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
24,12767,ko68,ko68,1.0,2.0,0.5925925925925926,1.0,1,0.4074074074074074,data,,,,,,,,,,,,,
25,13282,GeoffYart,GeoffYart,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
26,13796,jmhunter4711,jmhunter4711,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
27,14309,Nigogu,Nigogu,1.0,2.0,0.4074074074074074,1.0,1,0.5925925925925926,data,,,,,,,,,,,,,
28,14821,Daryhez,Daryhez,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
29,15332,daapinzonch,daapinzonch,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
30,15842,fewilchesc,fewilchesc,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
31,16351,JorgeTorresC,JorgeTorresC,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
32,16859,anythinglord,anythinglord,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
33,17366,criscapunal,criscapunal,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
34,17872,dieguischa,dieguischa,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
35,18377,Orloffyeah,Orloffyeah,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
36,18881,SergioLopez40,SergioLopez40,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
37,19384,DiegoAraque1207,DiegoAraque1207,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
38,19886,olimita,olimita,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
39,20387,yaochoal,yaochoal,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
40,20887,Gavnic,Gavnic,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
41,21386,Joacampora,Joacampora,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
42,21884,Ozai98,Ozai98,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
43,22381,nviverosb,nviverosb,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
44,22877,Sariilan,Sariilan,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
45,23372,Alekzu,Alekzu,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
46,23866,vvargasd,vvargasd,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
47,24359,biherrerap,biherrerap,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
48,24851,bfprietoc,bfprietoc,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
49,25342,LauraMolina,LauraMolina,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
50,25832,Acreed21,Acreed21,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
51,26321,Camiioo,Camiioo,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
52,26809,frnkbs,frnkbs,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
53,27296,Jfcastroh,Jfcastroh,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
54,27782,evilcucaracha,evilcucaracha,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
55,28267,JulianM96,JulianM96,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
56,28751,Saariasba,Saariasba,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
57,29234,tres-iqus,tres-iqus,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
58,29716,cglaitong,cglaitong,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
59,30197,DaniCastel,DaniCastel,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
60,30677,BrandonAvilanR,BrandonAvilanR,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
61,31156,alejosaur,alejosaur,1.0,2.0,0.5,1.0,1,0.5,data,,,,,,,,,,,,,
62,31634,jaasuarezvi,jaasuarezvi,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
63,32111,jdsolanos,jdsolanos,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
64,32587,DavidsMartinez,DavidsMartinez,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
65,33062,Biopeligro,Biopeligro,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
66,33536,garayf,garayf,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
67,34009,jaleonro,jaleonro,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
68,34481,facuellarg,facuellarg,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
69,34952,Caadiazsi,Caadiazsi,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
70,35422,sebcamacho1703,sebcamacho1703,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
71,35891,xFortich,xFortich,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
72,36359,Gusgal03,Gusgal03,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
73,36826,Juankmilo97,Juankmilo97,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
74,37292,alebautis,alebautis,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
75,37757,sarguellesr,sarguellesr,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
76,38221,davideperdomo,davideperdomo,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
77,38684,JamerMejiaGarcia,JamerMejiaGarcia,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
78,39146,nikolasto,nikolasto,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
79,39607,gahormigag,gahormigag,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
80,40067,ayperezc,ayperezc,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
81,40526,anferoar96,anferoar96,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
82,40984,StevenEsmar,StevenEsmar,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
83,41441,dcastanedar,dcastanedar,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
84,41897,trickyjuggler,trickyjuggler,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
85,42352,DaveValencia,DaveValencia,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
86,42806,csalfonsol,csalfonsol,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
87,43259,tres-xxx,tres-xxx,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
88,43711,buendiagon,buendiagon,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
89,44162,DSFarfanF,DSFarfanF,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
90,44612,jssanchezo,jssanchezo,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
91,45061,bsdiaza,bsdiaza,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
92,45509,casc3798,casc3798,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
93,45956,jsalcinar,jsalcinar,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
94,46402,Anvido,Anvido,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
95,46847,Jufcardenasmo,Jufcardenasmo,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
96,47291,federgolo,federgolo,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
97,47734,serbatero,serbatero,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
98,48176,GabrielUnal,GabrielUnal,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
99,48617,diefrodriguezcha,diefrodriguezcha,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
100,49057,adcorredorm,adcorredorm,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
101,49496,jdgaitanf,jdgaitanf,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
102,49934,pahigueraf,pahigueraf,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
103,50371,RafaelCruz15,RafaelCruz15,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
104,50807,gimg1859,gimg1859,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
105,51242,jannMorenoJ,jannMorenoJ,1.0,2.0,0.0,1.0,1,1.0,data,,,,,,,,,,,,,
106,51676,dahrojasca,dahrojasca,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
107,52109,FredyRosero,FredyRosero,1.0,2.0,1.0,1.0,1,0.0,data,,,,,,,,,,,,,
108,52541,mdecloedt,mdecloedt,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
109,52972,Jordan-Loeser,Jordan-Loeser,2.0,3.0,0.8709677419354839,1.0,2,0.1290322580645161,data,,,,,,,,,,,,,
110,53402,LukasMMarinovic,LukasMMarinovic,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
111,53831,whipplem123,whipplem123,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
112,54259,SionHu,SionHu,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
113,54686,jmamaril25,jmamaril25,2.0,3.0,0.9743589743589745,1.0,2,0.0256410256410256,data,,,,,,,,,,,,,
114,55112,lennwgs,lennwgs,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
115,55537,viswapurdue,viswapurdue,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
116,55961,CampbellC2,CampbellC2,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
117,56384,noah-curran,noah-curran,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
118,56806,laurenjank,laurenjank,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
119,57227,bzin22,bzin22,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
120,57647,AkaGar,AkaGar,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
121,58066,matson3,matson3,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
122,58484,ecottle,ecottle,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
123,58901,littlex2015,littlex2015,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
124,59317,shivans,shivans,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
125,59732,nbraunec,nbraunec,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
126,60146,sanjitsama,sanjitsama,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
127,60559,Ilyumzhinov,Ilyumzhinov,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
128,60971,hihms,hihms,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
129,61382,snugghash,snugghash,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
130,61792,zhao744,zhao744,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
131,62201,aclipfel,aclipfel,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
132,62609,ko68,ko68,2.0,3.0,0.5714285714285714,1.0,2,0.4285714285714286,data,,,,,,,,,,,,,
133,63016,GeoffYart,GeoffYart,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
134,63827,Nigogu,Nigogu,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
