,Unnamed: 0,Unnamed: 0.1,type,stage,dist_search
0,0,0,data,1,0.0001
1,1,1,data,1,0.0001
2,2,2,data,1,0.0001
3,3,3,data,1,0.0001
4,4,4,data,1,0.0001
5,5,5,data,1,5.9e-05
6,6,6,data,1,0.0001
7,7,7,data,1,0.0001
8,8,8,data,1,0.0001
9,9,9,data,1,0.0001
10,10,10,data,1,0.0001
11,11,11,data,1,0.0001
12,12,12,data,1,0.0001
13,13,13,data,1,0.0001
14,14,14,data,1,0.0001
15,15,15,data,1,0.0001
16,16,16,data,1,0.0001
17,17,17,data,1,0.0001
18,18,18,data,1,0.0001
19,19,19,data,1,0.0001
20,20,20,data,1,0.0001
21,21,21,data,1,0.0001
22,22,22,data,1,0.0001
23,23,23,data,1,0.0001
24,24,24,data,1,4.1e-05
25,25,25,data,1,0.0001
26,26,26,data,1,0.0001
27,27,27,data,1,5.9e-05
28,28,28,data,1,0.0001
29,29,29,data,1,0.0001
30,30,30,data,1,0.0001
31,31,31,data,1,0.0001
32,32,32,data,1,0.0001
33,33,33,data,1,0.0001
34,34,34,data,1,0.0001
35,35,35,data,1,0.0001
36,36,36,data,1,0.0001
37,37,37,data,1,0.0001
38,38,38,data,1,0.0001
39,39,39,data,1,0.0001
40,40,40,data,1,0.0001
41,41,41,data,1,0.0001
42,42,42,data,1,0.0001
43,43,43,data,1,0.0001
44,44,44,data,1,0.0001
45,45,45,data,1,0.0001
46,46,46,data,1,0.0001
47,47,47,data,1,0.0001
48,48,48,data,1,0.0001
49,49,49,data,1,0.0001
50,50,50,data,1,0.0001
51,51,51,data,1,0.0001
52,52,52,data,1,0.0001
53,53,53,data,1,0.0001
54,54,54,data,1,0.0001
55,55,55,data,1,0.0001
56,56,56,data,1,0.0001
57,57,57,data,1,0.0001
58,58,58,data,1,0.0001
59,59,59,data,1,0.0001
60,60,60,data,1,0.0001
61,61,61,data,1,5e-05
62,62,62,data,1,0.0001
63,63,63,data,1,0.0001
64,64,64,data,1,0.0001
65,65,65,data,1,0.0001
66,66,66,data,1,0.0001
67,67,67,data,1,0.0001
68,68,68,data,1,0.0001
69,69,69,data,1,0.0001
70,70,70,data,1,0.0001
71,71,71,data,1,0.0001
72,72,72,data,1,0.0001
73,73,73,data,1,0.0001
74,74,74,data,1,0.0001
75,75,75,data,1,0.0001
76,76,76,data,1,0.0001
77,77,77,data,1,0.0001
78,78,78,data,1,0.0001
79,79,79,data,1,0.0001
80,80,80,data,1,0.0001
81,81,81,data,1,0.0001
82,82,82,data,1,0.0001
83,83,83,data,1,0.0001
84,84,84,data,1,0.0001
85,85,85,data,1,0.0001
86,86,86,data,1,0.0001
87,87,87,data,1,0.0001
88,88,88,data,1,0.0001
89,89,89,data,1,0.0001
90,90,90,data,1,0.0001
91,91,91,data,1,0.0001
92,92,92,data,1,0.0001
93,93,93,data,1,0.0001
94,94,94,data,1,0.0001
95,95,95,data,1,0.0001
96,96,96,data,1,0.0001
97,97,97,data,1,0.0001
98,98,98,data,1,0.0001
99,99,99,data,1,0.0001
100,100,100,data,1,0.0001
101,101,101,data,1,0.0001
102,102,102,data,1,0.0001
103,103,103,data,1,0.0001
104,104,104,data,1,0.0001
105,105,105,data,1,0.0001
106,106,106,data,1,0.0001
107,107,107,data,1,0.0001
108,108,108,data,2,0.0001
109,109,109,data,2,1.3e-05
110,110,110,data,2,0.0001
111,111,111,data,2,0.0001
112,112,112,data,2,0.0001
113,113,113,data,2,3e-06
114,114,114,data,2,0.0001
115,115,115,data,2,0.0001
116,116,116,data,2,0.0001
117,117,117,data,2,0.0001
118,118,118,data,2,0.0001
119,119,119,data,2,0.0001
120,120,120,data,2,0.0001
121,121,121,data,2,0.0001
122,122,122,data,2,0.0001
123,123,123,data,2,0.0001
124,124,124,data,2,0.0001
125,125,125,data,2,0.0001
126,126,126,data,2,0.0001
127,127,127,data,2,0.0001
128,128,128,data,2,0.0001
129,129,129,data,2,0.0001
130,130,130,data,2,0.0001
131,131,131,data,2,0.0001
132,132,132,data,2,4.3e-05
133,133,133,data,2,0.0001
134,134,134,data,2,0.0001
135,135,135,data,2,0.0001
136,136,136,data,2,0.0001
137,137,137,data,2,0.0001
138,138,138,data,2,0.0001
139,139,139,data,2,0.0001
140,140,140,data,2,0.0001
141,141,141,data,2,0.0001
142,142,142,data,2,0.0001
143,143,143,data,2,0.0001
144,144,144,data,2,0.0001
145,145,145,data,2,3.2e-05
146,146,146,data,2,0.0001
147,147,147,data,2,0.0001
148,148,148,data,2,0.0001
149,149,149,data,2,0.0001
150,150,150,data,2,0.0001
151,151,151,data,2,0.0001
152,152,152,data,2,0.0001
153,153,153,data,2,0.0001
154,154,154,data,2,0.0001
155,155,155,data,2,0.0001
156,156,156,data,2,0.0001
157,157,157,data,2,0.0001
158,158,158,data,2,0.0001
159,159,159,data,2,0.0001
160,160,160,data,2,0.0001
161,161,161,data,2,0.0001
162,162,162,data,2,0.0001
163,163,163,data,2,0.0001
164,164,164,data,2,0.0001
165,165,165,data,2,0.0001
166,166,166,data,2,0.0001
167,167,167,data,2,4.2e-05
168,168,168,data,2,7e-06
169,169,169,data,2,0.0001
170,170,170,data,2,0.0001
171,171,171,data,2,0.0001
172,172,172,data,2,0.0001
173,173,173,data,2,1.9e-05
174,174,174,data,2,0.0001
175,175,175,data,2,0.0001
176,176,176,data,2,0.0001
177,177,177,data,2,0.0001
178,178,178,data,2,2.9e-05
179,179,179,data,2,0.0001
180,180,180,data,2,0.0001
181,181,181,data,2,0.0001
182,182,182,data,2,0.0001
183,183,183,data,2,3.9e-05
184,184,184,data,2,0.0001
185,185,185,data,2,0.0001
186,186,186,data,2,0.0001
187,187,187,data,2,0.0001
188,188,188,data,2,0.0001
189,189,189,data,2,0.0001
190,190,190,data,2,0.0001
191,191,191,data,2,1e-05
192,192,192,data,2,0.0001
193,193,193,data,2,0.0001
194,194,194,data,2,0.0001
195,195,195,data,2,0.0001
196,196,196,data,2,0.0001
197,197,197,data,2,0.0001
198,198,198,data,2,0.0001
199,199,199,data,2,0.0001
200,200,200,data,2,5.4e-05
201,201,201,data,2,0.0001
202,202,202,data,2,0.0001
203,203,203,data,2,3.5e-05
204,204,204,data,2,0.0001
205,205,205,data,2,0.0001
206,206,206,data,2,0.0001
207,207,207,data,2,0.0001
208,208,208,data,2,0.0001
209,209,209,data,2,2.1e-05
210,210,210,data,2,0.0001
211,211,211,data,2,0.0001
212,212,212,data,2,0.0001
213,213,213,data,2,0.0001
214,214,214,data,2,0.0001
215,215,215,data,3,0.0001
216,216,216,data,3,0.0001
217,217,217,data,3,0.0001
218,218,218,data,3,0.0001
219,219,219,data,3,0.0001
220,220,220,data,3,5e-06
221,221,221,data,3,0.0001
222,222,222,data,3,0.0001
223,223,223,data,3,0.0001
224,224,224,data,3,3.3e-05
225,225,225,data,3,0.0001
226,226,226,data,3,2.6e-05
227,227,227,data,3,0.0001
228,228,228,data,3,0.0001
229,229,229,data,3,0.0001
230,230,230,data,3,4.1e-05
231,231,231,data,3,0.0001
232,232,232,data,3,2.1e-05
233,233,233,data,3,0.0001
234,234,234,data,3,0.0001
235,235,235,data,3,0.0001
236,236,236,data,3,0.0001
237,237,237,data,3,0.0001
238,238,238,data,3,0.0001
239,239,239,data,3,0.0001
240,240,240,data,3,0.0001
241,241,241,data,3,0.0001
242,242,242,data,3,6.3e-05
243,243,243,data,3,0.0001
244,244,244,data,3,2.9e-05
245,245,245,data,3,0.0001
246,246,246,data,3,0.0001
247,247,247,data,3,0.0001
248,248,248,data,3,0.0001
249,249,249,data,3,0.0001
250,250,250,data,3,0.0001
251,251,251,data,3,0.0001
252,252,252,data,3,0.0001
253,253,253,data,3,1.1e-05
254,254,254,data,3,0.0001
255,255,255,data,3,0.0001
256,256,256,data,3,1.1e-05
257,257,257,data,3,0.0001
258,258,258,data,3,0.0001
259,259,259,data,3,0.0001
260,260,260,data,3,0.0001
261,261,261,data,3,0.0001
262,262,262,data,3,0.0001
263,263,263,data,3,0.0001
264,264,264,data,3,0.0001
265,265,265,data,3,0.0001
266,266,266,data,3,0.0001
267,267,267,data,3,0.0001
268,268,268,data,3,0.0001
269,269,269,data,3,0.0001
270,270,270,data,3,0.0001
271,271,271,data,3,0.0001
272,272,272,data,3,0.0001
273,273,273,data,3,7e-06
274,274,274,data,3,0.0001
275,275,275,data,3,0.0001
276,276,276,data,3,0.0001
277,277,277,data,3,0.0001
278,278,278,data,3,0.0001
279,279,279,data,3,0.0001
280,280,280,data,3,0.0001
281,281,281,data,3,0.0001
282,282,282,data,3,0.0001
283,283,283,data,3,0.0001
284,284,284,data,3,0.0001
285,285,285,data,3,0.0001
286,286,286,data,3,0.0001
287,287,287,data,3,0.0001
288,288,288,data,3,0.0001
289,289,289,data,3,0.0001
290,290,290,data,3,0.0001
291,291,291,data,3,1.6e-05
292,292,292,data,3,0.0001
293,293,293,data,3,0.0001
294,294,294,data,3,0.0001
295,295,295,data,3,4.5e-05
296,296,296,data,3,0.0001
297,297,297,data,3,0.0001
298,298,298,data,3,0.0001
299,299,299,data,3,1.6e-05
300,300,300,data,3,0.0001
301,301,301,data,3,0.0001
302,302,302,data,3,0.0001
303,303,303,data,3,0.0001
304,304,304,data,3,0.0001
305,305,305,data,3,0.0001
306,306,306,data,3,0.0001
307,307,307,data,3,0.0001
308,308,308,data,3,0.0001
309,309,309,data,3,8e-06
310,310,310,data,3,0.0001
311,311,311,data,3,2.4e-05
312,312,312,data,3,0.0001
313,313,313,data,3,0.0001
314,314,314,data,3,0.0001
315,315,315,data,3,0.0001
316,316,316,data,3,0.0001
317,317,317,data,3,1.9e-05
318,318,318,data,3,0.0001
319,319,319,data,3,0.0001
320,320,320,data,3,0.0001
321,321,321,data,3,0.0001
322,322,322,data,3,0.0001
323,323,323,data,4,0.0001
324,324,324,data,4,0.0001
325,325,325,data,4,0.0001
326,326,326,data,4,0.0001
327,327,327,data,4,0.0001
328,328,328,data,4,2.6e-05
329,329,329,data,4,0.0001
330,330,330,data,4,0.0001
331,331,331,data,4,0.0001
332,332,332,data,4,0.0001
333,333,333,data,4,0.0001
334,334,334,data,4,0.0001
335,335,335,data,4,1.5e-05
336,336,336,data,4,0.0001
337,337,337,data,4,0.0001
338,338,338,data,4,0.0001
339,339,339,data,4,0.0001
340,340,340,data,4,0.0001
341,341,341,data,4,0.0001
342,342,342,data,4,0.0001
343,343,343,data,4,0.0001
344,344,344,data,4,3.1e-05
345,345,345,data,4,0.0001
346,346,346,data,4,0.0001
347,347,347,data,4,1.4e-05
348,348,348,data,4,0.0001
349,349,349,data,4,0.0001
350,350,350,data,4,2.3e-05
351,351,351,data,4,0.0001
352,352,352,data,4,6e-06
353,353,353,data,4,0.0001
354,354,354,data,4,0.0001
355,355,355,data,4,0.0001
356,356,356,data,4,0.0001
357,357,357,data,4,0.0001
358,358,358,data,4,7.3e-05
359,359,359,data,4,0.0001
360,360,360,data,4,0.0001
361,361,361,data,4,2e-05
362,362,362,data,4,0.0001
363,363,363,data,4,0.0001
364,364,364,data,4,0.0001
365,365,365,data,4,0.0001
366,366,366,data,4,0.0001
367,367,367,data,4,0.0001
368,368,368,data,4,0.0001
369,369,369,data,4,0.0001
370,370,370,data,4,0.0001
371,371,371,data,4,0.0001
372,372,372,data,4,0.0001
373,373,373,data,4,0.0001
374,374,374,data,4,0.0001
375,375,375,data,4,0.0001
376,376,376,data,4,0.0001
377,377,377,data,4,0.0001
378,378,378,data,4,0.0001
379,379,379,data,4,0.0001
380,380,380,data,4,0.0001
381,381,381,data,4,0.0001
382,382,382,data,4,4.5e-05
383,383,383,data,4,0.0001
384,384,384,data,4,0.0001
385,385,385,data,4,0.0001
386,386,386,data,4,0.0001
387,387,387,data,4,0.0001
388,388,388,data,4,0.0001
389,389,389,data,4,2.2e-05
390,390,390,data,4,0.0001
391,391,391,data,4,0.0001
392,392,392,data,4,0.0001
393,393,393,data,4,4.6e-05
394,394,394,data,4,0.0001
395,395,395,data,4,0.0001
396,396,396,data,4,0.0001
397,397,397,data,4,0.0001
398,398,398,data,4,0.0001
399,399,399,data,4,0.0001
400,400,400,data,4,0.0001
401,401,401,data,4,0.0001
402,402,402,data,4,0.0001
403,403,403,data,4,0.0001
404,404,404,data,4,0.0001
405,405,405,data,4,0.0001
406,406,406,data,4,0.0001
407,407,407,data,4,0.0001
408,408,408,data,4,0.0001
409,409,409,data,4,0.0001
410,410,410,data,4,0.0001
