,username,dist_search,stage,type
0,jmamaril25,0.0,1,novel
1,hihms,0.0,1,novel
2,ko68,0.0,1,novel
3,Nigogu,0.0,1,novel
4,alejosaur,0.0,1,novel
5,pahigueraf,0.0,1,novel
6,mdecloedt,0.0,2,novel
7,Jordan-Loeser,0.0,2,novel
8,jmamaril25,0.0,2,novel
9,noah-curran,0.0,2,novel
10,matson3,0.0,2,novel
11,littlex2015,0.0,2,novel
12,hihms,0.0,2,novel
13,zhao744,0.0,2,novel
14,ko68,0.0,2,novel
15,Nigogu,0.0,2,novel
16,olimita,0.0,2,novel
17,LauraMolina,0.0,2,novel
18,cglaitong,0.0,2,novel
19,BrandonAvilanR,0.0,2,novel
20,alejosaur,0.0,2,novel
21,garayf,0.0,2,novel
22,xFortich,0.0,2,novel
23,davideperdomo,0.0,2,novel
24,trickyjuggler,0.0,2,novel
25,jsalcinar,0.0,2,novel
26,Anvido,0.0,2,novel
27,federgolo,0.0,2,novel
28,pahigueraf,0.0,2,novel
29,mdecloedt,0.0,3,novel
30,Jordan-Loeser,0.0,3,novel
31,LukasMMarinovic,0.0,3,novel
32,jmamaril25,0.0,3,novel
33,noah-curran,0.0,3,novel
34,bzin22,0.0,3,novel
35,AkaGar,0.0,3,novel
36,matson3,0.0,3,novel
37,ecottle,0.0,3,novel
38,littlex2015,0.0,3,novel
39,nbraunec,0.0,3,novel
40,hihms,0.0,3,novel
41,zhao744,0.0,3,novel
42,ko68,0.0,3,novel
43,gshowal,0.0,3,novel
44,Nigogu,0.0,3,novel
45,daapinzonch,0.0,3,novel
46,olimita,0.0,3,novel
47,Joacampora,0.0,3,novel
48,LauraMolina,0.0,3,novel
49,evilcucaracha,0.0,3,novel
50,JulianM96,0.0,3,novel
51,cglaitong,0.0,3,novel
52,alejosaur,0.0,3,novel
53,garayf,0.0,3,novel
54,sebcamacho1703,0.0,3,novel
55,xFortich,0.0,3,novel
56,davideperdomo,0.0,3,novel
57,ayperezc,0.0,3,novel
58,anferoar96,0.0,3,novel
59,trickyjuggler,0.0,3,novel
60,casc3798,0.0,3,novel
61,jsalcinar,0.0,3,novel
62,Anvido,0.0,3,novel
63,federgolo,0.0,3,novel
64,pahigueraf,0.0,3,novel
65,mdecloedt,0.0,4,novel
66,Jordan-Loeser,0.0,4,novel
67,LukasMMarinovic,0.0,4,novel
68,whipplem123,0.0,4,novel
69,jmamaril25,0.0,4,novel
70,viswapurdue,0.0,4,novel
71,noah-curran,0.0,4,novel
72,bzin22,0.0,4,novel
73,AkaGar,0.0,4,novel
74,matson3,0.0,4,novel
