,type,stage,dist_search
0,data,1,0.99
1,data,1,0.99
2,data,1,0.01
3,data,1,0.01
4,data,1,0.01
5,data,1,0.5897435897435898
6,data,1,0.01
7,data,1,0.01
8,data,1,0.01
9,data,1,0.99
10,data,1,0.01
11,data,1,0.01
12,data,1,0.01
13,data,1,0.99
14,data,1,0.01
15,data,1,0.99
16,data,1,0.01
17,data,1,0.01
18,data,1,0.01
19,data,1,0.01
20,data,1,0.01
21,data,1,0.01
22,data,1,0.99
23,data,1,0.01
24,data,1,0.4074074074074074
25,data,1,0.01
26,data,1,0.01
27,data,1,0.5925925925925926
28,data,1,0.01
29,data,1,0.01
30,data,1,0.01
31,data,1,0.01
32,data,1,0.99
33,data,1,0.01
34,data,1,0.01
35,data,1,0.99
36,data,1,0.01
37,data,1,0.01
38,data,1,0.99
39,data,1,0.01
40,data,1,0.01
41,data,1,0.01
42,data,1,0.01
43,data,1,0.99
44,data,1,0.01
45,data,1,0.01
46,data,1,0.01
47,data,1,0.01
48,data,1,0.01
49,data,1,0.99
50,data,1,0.01
51,data,1,0.01
52,data,1,0.01
53,data,1,0.01
54,data,1,0.01
55,data,1,0.01
56,data,1,0.01
57,data,1,0.01
58,data,1,0.99
59,data,1,0.01
60,data,1,0.99
61,data,1,0.5
62,data,1,0.01
63,data,1,0.01
64,data,1,0.01
65,data,1,0.01
66,data,1,0.99
67,data,1,0.01
68,data,1,0.01
69,data,1,0.01
70,data,1,0.01
71,data,1,0.99
72,data,1,0.01
73,data,1,0.01
74,data,1,0.01
75,data,1,0.01
76,data,1,0.99
77,data,1,0.01
78,data,1,0.01
79,data,1,0.01
80,data,1,0.01
81,data,1,0.01
82,data,1,0.01
83,data,1,0.01
84,data,1,0.99
85,data,1,0.01
86,data,1,0.01
87,data,1,0.01
88,data,1,0.01
89,data,1,0.01
90,data,1,0.01
91,data,1,0.01
92,data,1,0.01
93,data,1,0.99
94,data,1,0.99
95,data,1,0.01
96,data,1,0.99
97,data,1,0.01
98,data,1,0.01
99,data,1,0.01
100,data,1,0.99
101,data,1,0.01
102,data,1,0.01
103,data,1,0.01
104,data,1,0.01
105,data,1,0.99
106,data,1,0.01
107,data,1,0.01
108,data,2,0.01
109,data,2,0.1290322580645161
110,data,2,0.99
111,data,2,0.01
112,data,2,0.01
113,data,2,0.0256410256410256
114,data,2,0.01
115,data,2,0.01
116,data,2,0.01
117,data,2,0.01
118,data,2,0.01
119,data,2,0.99
120,data,2,0.99
121,data,2,0.01
122,data,2,0.99
123,data,2,0.01
124,data,2,0.01
125,data,2,0.99
126,data,2,0.01
127,data,2,0.01
128,data,2,0.01
129,data,2,0.01
130,data,2,0.01
131,data,2,0.01
132,data,2,0.4285714285714286
133,data,2,0.01
134,data,2,0.01
135,data,2,0.01
136,data,2,0.99
137,data,2,0.01
