,username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,phase
0,mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,1,"angular,",0.0666666666666666,93.33333333333331,6,60,40.74%,"0,0,0,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,9,179.42028985507244,59.26%,1
1,Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.0169491525423728,98.30508474576273,7,70,77.78%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,0.0,1.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,194.39204126750184,85.19%,1
2,LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,1,"bootstrap,",0.0180722891566265,98.19277108433737,6,60,55.56%,"0,0,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,8,175.58407543216344,55.56%,1
3,whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,0,,0.0,100.0,5,50,37.04%,"0,0,0,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,6,158.69565217391303,37.04%,1
4,SionHu,honors0,IH-Project-2017-SionHu_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,0,1,0,1,1,1,0,,0.0144927536231884,98.55072463768116,6,60,59.26%,"0,1,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,6,158.55072463768118,33.33%,1
5,jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"materialize,jquery,",0.0,100.0,9,90,92.59%,"1,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,3,0.6666666666666667,88.89%,"3.0,0.0,0.0,;",15,216.75362318840575,92.59%,1
6,lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,1,0,0,1,1,"bootstrap,",0.0227272727272727,97.72727272727272,7,70,70.37%,"0,1,1,1,1,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,193.81422924901187,81.48%,1
7,viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.0147058823529411,98.52941176470588,7,70,81.48%,"0,1,1,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,185.920716112532,70.37%,1
8,CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0785340314136125,92.14659685863874,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",3,60,96.3%,"1.0,1.0,0.0,0.0,1.0,",3,16.666666666666664,92.59%,"1.0,1.0,0.0,0.0,0.0,1.0,",6,26.08695652173913,96.3%,0,0.0,0.0%,,9,174.320509902117,48.15%,1
9,noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,1,"animate,font-awesome,",0.0307692307692307,96.92307692307692,4,40,22.22%,"0,0,0,1,0,0,0,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,92.59%,"2.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,7,163.01003344481603,44.44%,1
10,laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.0389610389610389,96.1038961038961,7,70,62.96%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,192.1908526256352,77.78%,1
11,bzin22,honors0,IH-Project-2017-bzin22_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0412371134020618,95.8762886597938,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,5,143.2675930076199,14.81%,1
12,AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0526315789473684,94.73684210526316,8,80,88.89%,"0,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,9,183.4324942791762,62.96%,1
13,matson3,honors0,IH-Project-2017-matson3_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.0,100.0,7,70,85.19%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,187.3913043478261,74.07%,1
14,ecottle,honors0,IH-Project-2017-ecottle_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,0,,0.0212765957446808,97.87234042553192,5,50,33.33%,"0,0,0,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,6,156.56799259944495,25.93%,1
15,littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.024390243902439,97.5609756097561,7,70,66.67%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,184.9522799575822,66.67%,1
16,shivans,honors0,IH-Project-2017-shivans_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,0,,0.0476190476190476,95.23809523809524,5,50,29.63%,"0,0,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,7,162.62939958592133,40.74%,1
17,nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,11.11%,"0,0,0,1,0,0,0,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,4,135.36231884057972,7.41%,1
18,sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.0259740259740259,97.4025974025974,6,60,48.15%,"0,1,1,1,0,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,8,174.7939017504235,51.85%,1
19,Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,0,,0.0606060606060606,93.93939393939394,5,50,25.93%,"0,0,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,5,143.93939393939394,18.52%,1
