username1,username2,link1,link2,comparison_type,ssim,features2d
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/AkaGar/webapp_phase2/index.html,maps,14.0,30.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/GeoffYart/webapp_phase2/index.html,maps,18.7,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/bzin22/webapp_phase2/index.html,maps,23.4,35.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase2/index.html,maps,18.8,30.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase2/index.html,maps,22.1,32.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase2/index.html,maps,22.5,38.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase2/index.html,maps,20.2,32.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase2/index.html,maps,12.0,28.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase2/index.html,maps,25.0,37.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/mdecloedt/webapp_phase2/index.html,maps,22.4,33.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase2/index.html,maps,22.1,38.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase2/index.html,maps,20.3,34.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase2/index.html,maps,21.8,35.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase2/index.html,maps,28.4,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/AkaGar/webapp_phase2/index.html,maps,21.9,33.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/GeoffYart/webapp_phase2/index.html,maps,24.1,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/bzin22/webapp_phase2/index.html,maps,7.4,36.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase2/index.html,maps,5.3,32.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase2/index.html,maps,4.8,39.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase2/index.html,maps,26.8,36.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase2/index.html,maps,27.4,36.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase2/index.html,maps,15.8,29.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase2/index.html,maps,4.9,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/mdecloedt/webapp_phase2/index.html,maps,26.2,39.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase2/index.html,maps,5.4,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase2/index.html,maps,31.0,40.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase2/index.html,maps,5.1,39.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase2/index.html,maps,39.0,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/AkaGar/webapp_phase2/index.html,maps,27.7,37.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/GeoffYart/webapp_phase2/index.html,maps,37.7,37.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/bzin22/webapp_phase2/index.html,maps,39.5,38.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase2/index.html,maps,47.9,43.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase2/index.html,maps,54.8,45.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase2/index.html,maps,48.4,40.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase2/index.html,maps,43.8,48.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase2/index.html,maps,37.2,75.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase2/index.html,maps,47.1,56.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/mdecloedt/webapp_phase2/index.html,maps,41.0,45.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase2/index.html,maps,40.7,57.0
