username1,username2,link1,link2,comparison_type,ssim,features2d
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase5/index.html,maps,25.3,84.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/bzin22/webapp_phase5/index.html,maps,99.9,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/ecottle/webapp_phase5/index.html,maps,45.8,74.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase5/index.html,maps,30.2,77.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase5/index.html,maps,42.1,58.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase5/index.html,maps,24.0,72.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase5/index.html,maps,22.5,60.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase5/index.html,maps,37.3,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase5/index.html,maps,37.1,93.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase5/index.html,maps,26.8,76.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase5/index.html,maps,45.9,88.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase5/index.html,maps,22.2,64.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase5/index.html,maps,53.8,76.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/bzin22/webapp_phase5/index.html,maps,63.5,68.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/ecottle/webapp_phase5/index.html,maps,96.1,100.0
