username1,username2,link1,link2,comparison_type,ssim,features2d
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,maps,27.8,32.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,maps,19.1,38.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,maps,19.5,39.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,maps,16.5,93.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,maps,27.3,34.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,24.6,37.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,21.2,42.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,18.0,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,15.5,42.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,19.3,41.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,30.1,36.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,19.2,38.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,20.3,34.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,19.7,30.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,maps,20.2,45.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,maps,34.5,30.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,maps,35.7,32.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,maps,28.4,49.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,25.9,34.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,26.9,28.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,31.3,37.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,28.0,32.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,31.6,32.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,31.8,37.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,39.8,32.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,21.5,39.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,21.8,34.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,maps,13.3,30.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,maps,9.7,30.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,maps,30.8,35.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,30.0,36.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,14.9,43.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,14.1,35.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,10.3,31.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,13.0,40.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,26.2,32.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,12.2,35.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,16.7,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,17.1,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,maps,24.9,36.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,maps,5.0,31.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,4.8,51.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,18.3,27.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,27.0,39.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,20.3,30.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,27.2,30.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,27.9,35.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,29.4,37.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,18.2,30.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,18.3,30.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,maps,5.1,33.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,4.8,36.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,23.3,56.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,29.3,49.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,28.8,37.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,23.7,42.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,5.5,33.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,41.0,35.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,23.0,36.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,23.3,31.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,24.1,37.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,13.3,29.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,25.9,33.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,4.7,31.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,5.1,33.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,30.2,98.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,5.5,34.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,21.3,38.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,22.5,38.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,12.7,93.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,26.3,38.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,4.4,50.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,4.7,34.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,26.6,40.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,5.0,40.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,18.6,37.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,16.1,36.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,21.7,27.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,23.2,26.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,21.5,33.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,14.8,27.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,23.8,30.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,12.2,30.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,12.0,27.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,24.5,32.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,25.3,33.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,31.7,33.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,31.1,37.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,20.9,33.7
