username1,username2,link1,link2,comparison_type,ssim,features2d
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,maps,16.5,28.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,maps,14.4,32.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/JulianM96/webapp_phase5/index.html,maps,23.6,32.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase5/index.html,maps,19.5,28.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/SergioLopez40/webapp_phase5/index.html,maps,12.4,50.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/StevenEsmar/webapp_phase5/index.html,maps,21.3,35.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase5/index.html,maps,24.7,26.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/anferoar96/webapp_phase5/index.html,maps,17.9,33.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase5/index.html,maps,22.0,52.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase5/index.html,maps,20.0,32.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase5/index.html,maps,18.9,31.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/daapinzonch/webapp_phase5/index.html,maps,15.8,50.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/evilcucaracha/webapp_phase5/index.html,maps,4.5,15.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/jdsolanos/webapp_phase5/index.html,maps,20.9,29.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,http://www.ironhacks.com/preview/trickyjuggler/webapp_phase5/index.html,maps,19.1,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,maps,28.4,43.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/JulianM96/webapp_phase5/index.html,maps,26.5,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase5/index.html,maps,23.2,28.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/SergioLopez40/webapp_phase5/index.html,maps,23.5,31.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/StevenEsmar/webapp_phase5/index.html,maps,12.3,30.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase5/index.html,maps,24.8,25.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/anferoar96/webapp_phase5/index.html,maps,19.1,32.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase5/index.html,maps,23.7,33.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase5/index.html,maps,21.9,29.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase5/index.html,maps,16.6,27.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/daapinzonch/webapp_phase5/index.html,maps,24.5,28.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/evilcucaracha/webapp_phase5/index.html,maps,8.0,55.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/jdsolanos/webapp_phase5/index.html,maps,21.3,28.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,http://www.ironhacks.com/preview/trickyjuggler/webapp_phase5/index.html,maps,20.9,27.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/JulianM96/webapp_phase5/index.html,maps,25.4,34.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase5/index.html,maps,20.7,33.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/SergioLopez40/webapp_phase5/index.html,maps,22.7,41.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/StevenEsmar/webapp_phase5/index.html,maps,10.3,32.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase5/index.html,maps,24.6,31.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/anferoar96/webapp_phase5/index.html,maps,19.8,38.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase5/index.html,maps,20.0,38.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase5/index.html,maps,19.3,37.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase5/index.html,maps,14.4,38.4
