username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"angular,d3,jquery,bootstrap,",0.0660377358490566,93.39622641509435,9,90,55.56%,"1,1,1,1,0,1,1,1,1,",4,80,96.3%,"1.0,1.0,0.0,1.0,1.0,",6,33.33333333333333,96.3%,"1.0,2.0,1.0,1.0,0.0,1.0,",10,43.47826086956522,96.3%,8,1.7777777777777777,77.78%,"3.0,1.0,1.0,;3.0,0.0,0.0,;",27,272.13052593200257,96.3%
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"react,jquery,d3,",0.011723329425556858,98.82766705744432,9,90,66.67%,"1,1,1,1,0,1,1,1,1,",3,60,92.59%,"1.0,1.0,0.0,1.0,0.0,",4,22.22222222222222,81.48%,"2.0,1.0,1.0,0.0,0.0,0.0,",7,30.434782608695656,92.59%,8,1.7777777777777777,77.78%,"3.0,1.0,1.0,;3.0,0.0,0.0,;",24,251.4750100526134,92.59%
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"animate,d3,jquery,bootstrap,",0.03678929765886288,96.32107023411372,7,70,25.93%,"1,1,0,1,1,0,0,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",13,193.07469342251952,25.93%
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"three,",0.04316546762589928,95.68345323741008,9,90,59.26%,"0,1,1,1,1,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",15,212.43707642581586,51.85%
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase4,Fri Nov 17 12:12:48 2017,1,8,"Zillow Home Value Searching API, Required Weather API, New York neighborhood, New York State Career Centers, Air Quality, New York museum, New York Safety, New York City Farmers Markets, ",1,1,1,0,1,1,1,1,"jquery,materialize,d3,",0.0038461538461538464,99.61538461538461,9,90,70.37%,"1,1,1,1,0,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,81.48%,27,6.0,96.3%,"3.0,0.0,0.0,;3.0,1.0,1.0,;1.0,1.0,1.0,;3.0,0.0,0.0,;2.0,0.0,0.0,;1.0,1.0,2.0,;3.0,1.0,1.0,;2.0,0.0,0.0,;",41,239.09364548494983,88.89%
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,",0.020833333333333332,97.91666666666666,7,70,29.63%,"0,1,1,1,1,0,0,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,0,0.0,0.0%,,10,194.00362318840578,29.63%
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,jquery,bootstrap,",0.0529595015576324,94.70404984423676,10,100,77.78%,"1,1,1,1,1,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",16,221.45767303264253,59.26%
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.07964601769911504,92.03539823008849,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,18.52%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,18.52%,0,0.0,0.0%,,5,139.42670257791457,18.52%
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Required Weather API, New York neighborhood, ",1,1,1,0,0,0,1,1,"font-awesome,animate,",0.012345679012345678,98.76543209876543,7,70,37.04%,"1,1,1,1,0,0,0,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,6,1.3333333333333335,62.96%,"3.0,0.0,0.0,;1.0,1.0,1.0,;",16,196.18572195383788,33.33%
