,type,stage,dist_search,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp
0,complete,1,0.635,,,,,,,
1,complete,1,0.529,,,,,,,
2,complete,1,0.762,,,,,,,
3,complete,1,0.5,,,,,,,
4,complete,1,0.043,,,,,,,
5,complete,1,0.316,,,,,,,
6,complete,1,0.821,,,,,,,
7,complete,1,0.462,,,,,,,
8,complete,1,0.01,,,,,,,
9,complete,1,0.908,,,,,,,
10,complete,1,0.528,,,,,,,
11,complete,1,0.796,,,,,,,
12,complete,1,0.014,,,,,,,
13,complete,1,0.403,,,,,,,
14,complete,1,0.01,,,,,,,
15,complete,1,0.002,,,,,,,
16,complete,1,0.01,,,,,,,
17,complete,1,0.283,,,,,,,
18,complete,1,0.699,,,,,,,
19,complete,1,0.578,,,,,,,
20,complete,1,0.676,,,,,,,
21,complete,1,0.838,,,,,,,
22,complete,1,0.653,,,,,,,
23,complete,1,0.278,,,,,,,
24,complete,1,0.605,,,,,,,
25,complete,1,0.734,,,,,,,
26,complete,1,0.31,,,,,,,
27,complete,1,0.64,,,,,,,
28,complete,1,0.011,,,,,,,
29,complete,1,0.489,,,,,,,
30,complete,2,0.01,,,,,,,
31,complete,2,0.738,,,,,,,
32,complete,2,0.724,,,,,,,
33,complete,2,0.01,,,,,,,
34,complete,2,0.471,,,,,,,
35,complete,2,0.325,,,,,,,
36,complete,2,0.684,,,,,,,
37,complete,2,0.01,,,,,,,
38,complete,2,0.01,,,,,,,
39,complete,2,0.129,,,,,,,
40,complete,2,0.235,,,,,,,
41,complete,2,0.107,,,,,,,
42,complete,2,0.01,,,,,,,
43,complete,2,0.097,,,,,,,
44,complete,2,0.01,,,,,,,
45,complete,2,0.01,,,,,,,
46,complete,2,0.01,,,,,,,
47,complete,2,0.661,,,,,,,
48,complete,2,0.01,,,,,,,
49,complete,2,0.001,,,,,,,
50,complete,2,0.711,,,,,,,
51,complete,2,0.739,,,,,,,
52,complete,2,0.029,,,,,,,
53,complete,2,0.003,,,,,,,
54,complete,2,0.423,,,,,,,
55,complete,2,0.01,,,,,,,
56,complete,2,0.411,,,,,,,
57,complete,2,0.635,,,,,,,
58,complete,2,0.047,,,,,,,
59,complete,2,0.084,,,,,,,
60,complete,3,0.773,,,,,,,
61,complete,3,0.519,,,,,,,
62,complete,3,0.01,,,,,,,
63,complete,3,0.012,,,,,,,
64,complete,3,0.01,,,,,,,
65,complete,3,0.539,,,,,,,
66,complete,3,0.01,,,,,,,
67,complete,3,0.01,,,,,,,
68,complete,3,0.245,,,,,,,
69,complete,3,0.588,,,,,,,
70,complete,3,0.01,,,,,,,
71,complete,3,0.003,,,,,,,
72,complete,3,0.494,,,,,,,
73,complete,3,0.01,,,,,,,
74,complete,3,0.002,,,,,,,
75,complete,3,0.01,,,,,,,
76,complete,3,0.01,,,,,,,
77,complete,3,0.01,,,,,,,
78,complete,3,0.656,,,,,,,
79,complete,3,0.005,,,,,,,
80,complete,3,0.211,,,,,,,
81,complete,3,0.09,,,,,,,
82,complete,3,0.01,,,,,,,
83,complete,3,0.423,,,,,,,
84,complete,3,0.01,,,,,,,
85,complete,3,0.01,,,,,,,
86,complete,3,0.654,,,,,,,
87,complete,3,0.082,,,,,,,
88,complete,3,0.06,,,,,,,
89,complete,4,0.449,,,,,,,
90,complete,4,0.01,,,,,,,
91,complete,4,0.001,,,,,,,
92,complete,4,0.281,,,,,,,
93,complete,4,0.242,,,,,,,
94,complete,4,0.01,,,,,,,
95,complete,4,0.063,,,,,,,
96,complete,4,0.01,,,,,,,
97,complete,4,0.005,,,,,,,
98,complete,4,0.199,,,,,,,
99,complete,4,0.01,,,,,,,
100,complete,4,0.134,,,,,,,
101,complete,4,0.01,,,,,,,
102,complete,4,0.01,,,,,,,
103,complete,4,0.1,,,,,,,
104,complete,4,0.109,,,,,,,
105,complete,4,0.527,,,,,,,
106,complete,4,0.128,,,,,,,
107,complete,4,0.544,,,,,,,
108,complete,4,0.01,,,,,,,
109,complete,4,0.748,,,,,,,
110,complete,4,0.001,,,,,,,
111,complete,4,0.013,,,,,,,
112,complete,1,0.713,,,,,,,
113,complete,1,0.507,,,,,,,
114,complete,1,0.96,,,,,,,
115,complete,1,0.607,,,,,,,
116,complete,1,0.01,,,,,,,
117,complete,1,0.642,,,,,,,
118,complete,1,0.678,,,,,,,
119,complete,1,0.627,,,,,,,
120,complete,1,0.01,,,,,,,
121,complete,1,0.479,,,,,,,
122,complete,1,0.01,,,,,,,
123,complete,1,0.883,,,,,,,
124,complete,1,0.84,,,,,,,
125,complete,1,0.561,,,,,,,
126,complete,1,0.439,,,,,,,
127,complete,1,0.01,,,,,,,
128,complete,1,0.01,,,,,,,
129,complete,1,0.049,,,,,,,
130,complete,1,0.942,,,,,,,
131,complete,1,0.58,,,,,,,
132,complete,1,0.659,,,,,,,
133,complete,1,0.724,,,,,,,
134,complete,1,0.985,,,,,,,
135,complete,1,0.01,,,,,,,
136,complete,1,0.01,,,,,,,
137,complete,2,0.01,,,,,,,
138,complete,2,0.746,,,,,,,
139,complete,2,0.894,,,,,,,
140,complete,2,0.01,,,,,,,
141,complete,2,0.01,,,,,,,
142,complete,2,0.01,,,,,,,
143,complete,2,0.341,,,,,,,
144,complete,2,0.01,,,,,,,
145,complete,2,0.01,,,,,,,
146,complete,2,0.01,,,,,,,
147,complete,2,0.01,,,,,,,
148,complete,2,0.01,,,,,,,
149,complete,2,0.579,,,,,,,
150,complete,2,0.408,,,,,,,
151,complete,2,0.439,,,,,,,
152,complete,2,0.01,,,,,,,
153,complete,2,0.549,,,,,,,
