,username,stage,dist_search_novel,dist_search_vis,dist_search_data
0,jmamaril25,1,1.0,0.01,0.5897435897435898
1,jmamaril25,1,1.0,0.01,0.5897435897435898
2,hihms,1,0.0,0.001,0.0
3,hihms,1,0.0,0.001,0.0
4,ko68,1,1.0,0.01,0.4074074074074074
5,ko68,1,1.0,0.01,0.4074074074074074
6,Nigogu,1,0.0,0.0,0.5925925925925926
7,alejosaur,1,1.0,0.319,0.5
8,pahigueraf,1,1.0,0.764,0.0
9,mdecloedt,2,0.0,0.0,0.0
10,Jordan-Loeser,2,0.6666666666666667,0.0,0.1290322580645161
11,jmamaril25,2,0.4444444444444444,0.117,0.0256410256410256
12,jmamaril25,2,0.4444444444444444,0.117,0.0256410256410256
13,noah-curran,2,0.0,0.01,0.0
14,noah-curran,2,0.0,0.01,0.0
15,matson3,2,0.0,0.0,0.0
16,littlex2015,2,0.0,0.01,0.0
17,littlex2015,2,0.0,0.01,0.0
18,hihms,2,0.0,0.01,0.0
19,hihms,2,0.0,0.01,0.0
20,zhao744,2,0.0,0.716,0.0
21,zhao744,2,0.0,0.716,0.0
22,ko68,2,1.0,0.01,0.4285714285714286
23,ko68,2,1.0,0.01,0.4285714285714286
24,Nigogu,2,0.0,0.0,0.0
25,olimita,2,1.0,0.01,0.3199999999999999
26,LauraMolina,2,0.0,0.01,0.0
27,cglaitong,2,0.4285714285714286,0.605,0.0
28,BrandonAvilanR,2,0.8333333333333334,0.0,0.4186046511627906
29,alejosaur,2,0.1999999999999999,0.293,0.0714285714285714
30,garayf,2,1.0,0.0,0.1904761904761904
31,xFortich,2,1.0,0.776,0.2903225806451612
32,davideperdomo,2,0.6666666666666667,0.0,0.3947368421052631
33,trickyjuggler,2,0.75,0.0,0.0999999999999999
34,jsalcinar,2,1.0,0.741,0.5428571428571429
35,Anvido,2,0.0,0.0,0.0
36,federgolo,2,1.0,0.79,0.3461538461538461
37,pahigueraf,2,0.8333333333333334,0.962,0.2068965517241379
38,mdecloedt,3,1.0,0.0,0.0
39,Jordan-Loeser,3,1.0,0.0,0.0
40,LukasMMarinovic,3,0.0,0.0,0.0
41,jmamaril25,3,0.7,0.636,0.0512820512820513
42,jmamaril25,3,0.7,0.636,0.0512820512820513
43,noah-curran,3,1.0,0.095,0.3333333333333333
44,noah-curran,3,1.0,0.095,0.3333333333333333
45,bzin22,3,0.8,0.742,0.2558139534883721
46,bzin22,3,0.8,0.742,0.2558139534883721
47,AkaGar,3,0.0,0.0,0.0
48,matson3,3,0.0,0.01,0.0
49,matson3,3,0.0,0.01,0.0
50,ecottle,3,0.0,0.709,0.0
51,ecottle,3,0.0,0.709,0.0
52,littlex2015,3,1.0,0.694,0.4074074074074074
53,littlex2015,3,1.0,0.694,0.4074074074074074
54,nbraunec,3,0.8,0.099,0.2058823529411765
55,nbraunec,3,0.8,0.099,0.2058823529411765
56,hihms,3,0.0,0.005,0.0
57,hihms,3,0.0,0.005,0.0
58,zhao744,3,0.0,0.01,0.0
59,zhao744,3,0.0,0.01,0.0
60,ko68,3,0.5,0.01,0.0
61,ko68,3,0.5,0.01,0.0
62,gshowal,3,0.0,0.01,0.0
63,gshowal,3,0.0,0.01,0.0
64,Nigogu,3,1.0,0.0,0.6341463414634146
65,daapinzonch,3,1.0,0.647,0.2903225806451612
66,olimita,3,1.0,0.01,0.1071428571428571
67,Joacampora,3,0.8,0.669,0.1142857142857143
68,LauraMolina,3,0.0,0.01,0.0
69,evilcucaracha,3,0.0,0.0,0.0
70,JulianM96,3,0.0,0.0,0.0
71,cglaitong,3,0.1666666666666666,0.717,0.0714285714285714
72,alejosaur,3,0.4285714285714286,0.313,0.0
73,garayf,3,0.0,0.0,0.0
74,sebcamacho1703,3,1.0,0.0,0.0
75,xFortich,3,0.6666666666666667,0.0,0.0
76,davideperdomo,3,0.75,0.0,0.1627906976744185
77,ayperezc,3,1.0,0.722,0.4516129032258065
78,anferoar96,3,0.0,0.0,0.0
79,trickyjuggler,3,0.3333333333333333,0.0,0.15625
80,casc3798,3,0.0,0.01,0.0
81,jsalcinar,3,0.0,0.0,0.0
82,Anvido,3,0.6,0.0,0.0789473684210526
83,federgolo,3,0.75,0.778,0.2352941176470588
84,pahigueraf,3,0.5714285714285714,0.01,0.1944444444444444
85,mdecloedt,4,1.0,0.0,0.0
86,Jordan-Loeser,4,1.0,0.0,0.0
87,LukasMMarinovic,4,0.0,0.0,0.0
88,whipplem123,4,0.0,0.01,0.0
89,whipplem123,4,0.0,0.01,0.0
90,jmamaril25,4,0.9090909090909092,0.081,0.2558139534883721
91,jmamaril25,4,0.9090909090909092,0.081,0.2558139534883721
92,viswapurdue,4,0.0,0.01,0.0
93,viswapurdue,4,0.0,0.01,0.0
94,noah-curran,4,0.0,0.174,0.0
95,noah-curran,4,0.0,0.174,0.0
96,bzin22,4,0.0,0.01,0.0
97,bzin22,4,0.0,0.01,0.0
98,AkaGar,4,0.8571428571428572,0.0,0.1489361702127659
99,matson3,4,0.0,0.166,0.0
100,matson3,4,0.0,0.166,0.0
101,ecottle,4,0.0,0.838,0.0
102,ecottle,4,0.0,0.838,0.0
103,littlex2015,4,1.0,0.01,0.0
104,littlex2015,4,1.0,0.01,0.0
105,hihms,4,0.0,0.01,0.0
106,hihms,4,0.0,0.01,0.0
107,snugghash,4,0.5,0.0,0.3076923076923077
108,zhao744,4,0.0,0.0,0.0
109,ko68,4,0.8,0.0,0.1428571428571429
110,GeoffYart,4,0.3333333333333333,0.0,0.0
111,gshowal,4,0.0,0.0,0.0
112,Nigogu,4,0.6666666666666667,0.0,0.2272727272727273
113,daapinzonch,4,0.8,0.717,0.0645161290322581
114,Orloffyeah,4,0.0,0.674,0.7333333333333334
115,DiegoAraque1207,4,0.0,0.715,0.0
116,olimita,4,0.3333333333333333,0.01,0.1999999999999999
117,Joacampora,4,0.0,0.669,0.0
118,LauraMolina,4,0.0,0.01,0.0
119,JulianM96,4,0.0,0.0,0.0
120,cglaitong,4,0.2857142857142857,0.01,0.0
121,DaniCastel,4,1.0,0.234,0.4516129032258065
122,alejosaur,4,0.4285714285714286,0.01,0.0
123,garayf,4,0.5,0.0,0.2222222222222222
124,sebcamacho1703,4,1.0,0.0,0.4615384615384615
125,xFortich,4,0.6666666666666667,0.0,0.0
126,davideperdomo,4,0.375,0.011,0.0
127,anferoar96,4,0.0,0.0,0.0
128,trickyjuggler,4,0.0,0.0,0.0
129,casc3798,4,1.0,0.749,0.5952380952380952
130,jsalcinar,4,0.75,0.0,0.0
131,Anvido,4,0.4,0.0,0.0
132,Jufcardenasmo,4,0.0,0.478,0.0
133,federgolo,4,0.6,0.01,0.175
134,diefrodriguezcha,4,0.0,0.0,0.0
135,pahigueraf,4,0.4285714285714286,0.742,0.0769230769230768
136,AkaGar,1,0.0,0.86,0.0
137,AkaGar,1,0.0,0.86,0.0
138,GeoffYart,1,0.0,0.759,0.0
139,GeoffYart,1,0.0,0.759,0.0
140,bzin22,1,0.0,0.662,0.0
141,bzin22,1,0.0,0.662,0.0
142,laurenjank,1,0.0,0.01,0.0
143,laurenjank,1,0.0,0.01,0.0
144,littlex2015,1,0.0,0.622,1.0
145,littlex2015,1,0.0,0.622,1.0
146,mdecloedt,1,0.0,0.01,1.0
147,mdecloedt,1,0.0,0.01,1.0
148,nbraunec,1,0.0,0.939,0.0
149,nbraunec,1,0.0,0.939,0.0
150,viswapurdue,1,0.0,0.968,0.0
151,viswapurdue,1,0.0,0.968,0.0
152,AkaGar,2,0.0,0.01,1.0
153,AkaGar,2,0.0,0.01,1.0
154,bzin22,2,0.0,0.015,1.0
155,bzin22,2,0.0,0.015,1.0
156,laurenjank,2,0.0,0.768,0.0
157,laurenjank,2,0.0,0.768,0.0
158,lennwgs,2,0.0,0.01,0.0
159,lennwgs,2,0.0,0.01,0.0
160,nbraunec,2,0.0,0.01,1.0
161,nbraunec,2,0.0,0.01,1.0
162,laurenjank,3,0.0,0.01,0.0
163,laurenjank,3,0.0,0.01,0.0
164,lennwgs,3,0.0,0.01,0.0
165,lennwgs,3,0.0,0.01,0.0
166,whipplem123,3,0.0,0.01,1.0
167,whipplem123,3,0.0,0.01,1.0
168,laurenjank,4,0.0,0.777,0.0
169,laurenjank,4,0.0,0.777,0.0
170,lennwgs,4,0.0,0.01,0.0
171,lennwgs,4,0.0,0.01,0.0
172,FredyRosero,1,0.0,0.96,0.0
173,LauraMolina,1,0.0,0.728,1.0
174,RafaelCruz15,1,0.0,0.788,0.0
175,davideperdomo,1,0.0,0.734,1.0
176,jannMorenoJ,1,0.0,0.563,1.0
177,FredyRosero,2,0.0,0.945,0.0
178,JamerMejiaGarcia,2,0.0,0.01,0.0
179,RafaelCruz15,2,0.0,0.809,0.0
180,adcorredorm,2,0.0,0.01,1.0
181,ayperezc,2,0.0,0.01,1.0
182,gimg1859,2,0.0,0.613,0.0
183,jdgaitanf,2,0.0,0.51,1.0
184,sarguellesr,2,0.0,0.01,0.0
185,Acreed21,3,0.0,0.01,0.0
186,Camiioo,3,0.0,0.637,0.0
187,FredyRosero,3,0.0,0.007,0.0
188,JamerMejiaGarcia,3,0.0,0.01,0.0
189,RafaelCruz15,3,0.0,0.01,0.0
190,adcorredorm,3,0.0,0.01,0.0
191,biherrerap,3,0.0,0.01,0.0
192,gimg1859,3,0.0,0.01,0.0
193,sarguellesr,3,0.0,0.01,0.0
194,FredyRosero,4,0.0,0.006,1.0
195,JamerMejiaGarcia,4,0.0,0.01,0.0
196,Jfcastroh,4,0.0,0.01,0.0
197,RafaelCruz15,4,0.0,0.81,0.0
198,adcorredorm,4,0.0,0.742,1.0
