,username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,phase,except-min-criteria,novel-20,len_except_min_criteria,len_novel_20,len_data
5,jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,['Required Weather API'],1,1,1,0,1,1,1,1,"materialize,jquery,",0.0,100.0,9,90,92.59%,"1,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,3,0.6666666666666667,88.89%,"3.0,0.0,0.0,;",15,216.75362318840575,92.59%,1,[],[],0,0,1
20,hihms,honors0,IH-Project-2017-hihms_webapp_phase1,Sun Nov  5 20:39:31 2017,0,1,['Required Weather API'],0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0202247191011235,97.97752808988764,7,70,74.07%,"0,0,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,7,1.5555555555555556,96.3%,"3.0,3.0,1.0,;",17,195.6200401671823,88.89%,1,[],[],0,0,1
24,ko68,honors0,IH-Project-2017-ko68_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,['Required Weather API'],1,1,1,1,1,1,1,1,"jquery,",0.0070422535211267,99.29577464788731,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"0.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,3,0.6666666666666667,88.89%,"3.0,0.0,0.0,;",15,217.35374566238008,96.3%,1,[],[],0,0,1
27,Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,['Required Weather API'],1,1,1,0,1,1,1,1,"bootstrap,jquery,",0.0206896551724137,97.93103448275862,9,90,96.3%,"1,1,1,1,0,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,3,0.6666666666666667,96.3%,"3.0,0.0,0.0,;",15,214.6846576711644,96.3%,1,[],[],0,0,1
61,alejosaur,unal1,IH-Project-2017-alejosaur_webapp_phase1,Sun Nov  5 20:39:31 2017,0,1,['Bank-Owned ATM Locations in New York State'],1,1,1,0,1,1,1,1,"bootstrap,animate,jquery,",0.0380434782608695,96.19565217391305,8,80,85.19%,"0,1,1,1,0,1,1,1,1,",1,20,55.56%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,62.96%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,2,0.4444444444444444,96.3%,"2.0,0.0,0.0,;",13,202.7270531400966,85.19%,1,['Bank-Owned ATM Locations in New York State'],['Bank-Owned ATM Locations in New York State'],1,1,1
102,pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase1,Sun Nov  5 20:39:31 2017,0,2,"['Fire Department Directory for New York State', ' New York State Career Centers']",1,1,1,1,1,1,1,1,"bootstrap,font-awesome,jquery,",0.010752688172043,98.9247311827957,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,62.96%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,4,0.8888888888888888,96.3%,"1.0,0.0,0.0,;3.0,0.0,0.0,;",16,215.9005765934237,92.59%,1,"['Fire Department Directory for New York State', ' New York State Career Centers']",[' New York State Career Centers'],2,1,2
108,mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase2,Tue Nov  7 00:39:19 2017,1,2,"['Required Weather API', ' Zillow Home Value Searching API']",1,1,1,0,1,1,1,1,"angular,",0.0677966101694915,93.22033898305084,9,90,77.78%,"1,1,1,1,0,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,6,1.3333333333333337,81.48%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",18,210.6406288381233,77.78%,2,[' Zillow Home Value Searching API'],[' Zillow Home Value Searching API'],1,1,2
109,Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase2,Tue Nov  7 00:39:19 2017,1,3,"['Neighborhood Names GIS', ' Required Weather API', ' Zillow Home Value Searching API']",1,1,1,0,1,1,1,1,"d3,jquery,",0.0114155251141552,98.85844748858447,9,90,85.19%,"1,1,1,1,0,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"2.0,0.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,77.78%,9,2.0,92.59%,"1.0,1.0,1.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;",22,225.64105618423667,88.89%,2,"['Neighborhood Names GIS', ' Required Weather API', ' Zillow Home Value Searching API']","['Neighborhood Names GIS', ' Required Weather API', ' Zillow Home Value Searching API']",3,3,3
113,jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase2,Tue Nov  7 00:39:19 2017,1,8,"['New York State Career Centers', ' Fire Department Directory for New York State', ' Air Quality', ' Required Weather API', ' New York City Museums', ' Zillow Home Value Searching API', ' New York City Farmers Markets', ' School Safety Report']",1,1,1,1,1,1,1,1,"d3,materialize,jquery,",0.0061538461538461,99.3846153846154,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,88.89%,"2.0,0.0,1.0,0.0,0.0,1.0,",5,21.73913043478261,88.89%,16,3.555555555555556,96.3%,"3.0,0.0,0.0,;1.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;",31,246.41843180973612,96.3%,2,"['New York State Career Centers', ' Fire Department Directory for New York State', ' Air Quality', ' Required Weather API', ' New York City Museums', ' Zillow Home Value Searching API', ' New York City Farmers Markets', ' School Safety Report']","['New York State Career Centers', ' Fire Department Directory for New York State', ' Air Quality', ' Required Weather API', ' New York City Museums', ' Zillow Home Value Searching API', ' New York City Farmers Markets', ' School Safety Report']",8,8,8
117,noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,['Required Weather API'],1,1,1,0,0,0,1,1,"animate,font-awesome,",0.0097560975609756,99.02439024390245,7,70,66.67%,"1,1,1,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,3,0.6666666666666667,66.67%,"3.0,0.0,0.0,;",13,195.77801343230823,59.26%,2,[],[],0,0,1
