,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type
107,mdecloedt,mdecloedt,1,2,0.0,1,1,0.99,data
646,Jordan-Loeser,Jordan-Loeser,1,2,0.0,1,1,0.99,data
1184,LukasMMarinovic,LukasMMarinovic,1,2,1.0,1,1,0.01,data
1721,whipplem123,whipplem123,1,2,1.0,1,1,0.01,data
2257,SionHu,SionHu,1,2,1.0,1,1,0.01,data
2792,jmamaril25,jmamaril25,1,2,0.41025641025641024,1,1,0.5897435897435898,data
3326,lennwgs,lennwgs,1,2,1.0,1,1,0.01,data
3859,viswapurdue,viswapurdue,1,2,1.0,1,1,0.01,data
4391,CampbellC2,CampbellC2,1,2,1.0,1,1,0.01,data
4922,noah-curran,noah-curran,1,2,0.0,1,1,0.99,data
5452,laurenjank,laurenjank,1,2,1.0,1,1,0.01,data
5981,bzin22,bzin22,1,2,1.0,1,1,0.01,data
6509,AkaGar,AkaGar,1,2,1.0,1,1,0.01,data
7036,matson3,matson3,1,2,0.0,1,1,0.99,data
7562,ecottle,ecottle,1,2,1.0,1,1,0.01,data
8087,littlex2015,littlex2015,1,2,0.0,1,1,0.99,data
8611,shivans,shivans,1,2,1.0,1,1,0.01,data
9134,nbraunec,nbraunec,1,2,1.0,1,1,0.01,data
9656,sanjitsama,sanjitsama,1,2,1.0,1,1,0.01,data
10177,Ilyumzhinov,Ilyumzhinov,1,2,1.0,1,1,0.01,data
10697,hihms,hihms,1,2,1.0,1,1,0.01,data
11216,snugghash,snugghash,1,2,1.0,1,1,0.01,data
11734,zhao744,zhao744,1,2,0.0,1,1,0.99,data
12251,aclipfel,aclipfel,1,2,1.0,1,1,0.01,data
12767,ko68,ko68,1,2,0.5925925925925926,1,1,0.40740740740740744,data
13282,GeoffYart,GeoffYart,1,2,1.0,1,1,0.01,data
13796,jmhunter4711,jmhunter4711,1,2,1.0,1,1,0.01,data
14309,Nigogu,Nigogu,1,2,0.4074074074074074,1,1,0.5925925925925926,data
14821,Daryhez,Daryhez,1,2,1.0,1,1,0.01,data
15332,daapinzonch,daapinzonch,1,2,1.0,1,1,0.01,data
15842,fewilchesc,fewilchesc,1,2,1.0,1,1,0.01,data
16351,JorgeTorresC,JorgeTorresC,1,2,1.0,1,1,0.01,data
16859,anythinglord,anythinglord,1,2,0.0,1,1,0.99,data
17366,criscapunal,criscapunal,1,2,1.0,1,1,0.01,data
17872,dieguischa,dieguischa,1,2,1.0,1,1,0.01,data
18377,Orloffyeah,Orloffyeah,1,2,0.0,1,1,0.99,data
18881,SergioLopez40,SergioLopez40,1,2,1.0,1,1,0.01,data
19384,DiegoAraque1207,DiegoAraque1207,1,2,1.0,1,1,0.01,data
19886,olimita,olimita,1,2,0.0,1,1,0.99,data
20387,yaochoal,yaochoal,1,2,1.0,1,1,0.01,data
20887,Gavnic,Gavnic,1,2,1.0,1,1,0.01,data
21386,Joacampora,Joacampora,1,2,1.0,1,1,0.01,data
21884,Ozai98,Ozai98,1,2,1.0,1,1,0.01,data
22381,nviverosb,nviverosb,1,2,0.0,1,1,0.99,data
22877,Sariilan,Sariilan,1,2,1.0,1,1,0.01,data
23372,Alekzu,Alekzu,1,2,1.0,1,1,0.01,data
23866,vvargasd,vvargasd,1,2,1.0,1,1,0.01,data
24359,biherrerap,biherrerap,1,2,1.0,1,1,0.01,data
24851,bfprietoc,bfprietoc,1,2,1.0,1,1,0.01,data
25342,LauraMolina,LauraMolina,1,2,0.0,1,1,0.99,data
25832,Acreed21,Acreed21,1,2,1.0,1,1,0.01,data
26321,Camiioo,Camiioo,1,2,1.0,1,1,0.01,data
26809,frnkbs,frnkbs,1,2,1.0,1,1,0.01,data
27296,Jfcastroh,Jfcastroh,1,2,1.0,1,1,0.01,data
27782,evilcucaracha,evilcucaracha,1,2,1.0,1,1,0.01,data
28267,JulianM96,JulianM96,1,2,1.0,1,1,0.01,data
28751,Saariasba,Saariasba,1,2,1.0,1,1,0.01,data
29234,tres-iqus,tres-iqus,1,2,1.0,1,1,0.01,data
29716,cglaitong,cglaitong,1,2,0.0,1,1,0.99,data
30197,DaniCastel,DaniCastel,1,2,1.0,1,1,0.01,data
30677,BrandonAvilanR,BrandonAvilanR,1,2,0.0,1,1,0.99,data
31156,alejosaur,alejosaur,1,2,0.5,1,1,0.5,data
