,link1_change,link2_change,ssim_exp,stage,comparison_type,ssim_exp_scale
0,biherrerap,biherrerap,50.0,1,functions,0.5
1,SionHu,SionHu,11.76470588235294,1,functions,0.117647
2,littlex2015,littlex2015,17.647058823529413,1,functions,0.176471
3,Nigogu,Nigogu,66.66666666666666,1,functions,0.666667
4,AkaGar,AkaGar,54.54545454545454,1,functions,0.545455
5,ko68,ko68,24.390243902439025,1,functions,0.243902
6,whipplem123,whipplem123,80.0,1,functions,0.8
7,jmamaril25,jmamaril25,62.5,1,functions,0.625
8,Alekzu,Alekzu,100.0,1,functions,0.99
9,nbraunec,nbraunec,100.0,1,functions,0.99
10,Ilyumzhinov,Ilyumzhinov,100.0,1,functions,0.99
11,Camiioo,Camiioo,100.0,1,functions,0.99
12,Gavnic,Gavnic,100.0,1,functions,0.99
13,Sariilan,Sariilan,100.0,1,functions,0.99
14,nviverosb,nviverosb,59.25925925925925,1,functions,0.592593
15,dieguischa,dieguischa,5.88235294117647,1,functions,0.058824
16,Acreed21,Acreed21,25.0,1,functions,0.25
17,ecottle,ecottle,57.14285714285714,1,functions,0.571429
18,Ozai98,Ozai98,100.0,1,functions,0.99
19,Daryhez,Daryhez,4.761904761904762,1,functions,0.047619
20,sanjitsama,sanjitsama,5.88235294117647,1,functions,0.058824
21,DiegoAraque1207,DiegoAraque1207,60.0,1,functions,0.6
22,SergioLopez40,SergioLopez40,100.0,1,functions,0.99
23,yaochoal,yaochoal,15.0,1,functions,0.15
24,viswapurdue,viswapurdue,10.0,1,functions,0.1
25,matson3,matson3,1.282051282051282,1,functions,0.012821
26,laurenjank,laurenjank,50.0,2,functions,0.5
27,JorgeTorresC,JorgeTorresC,100.0,2,functions,0.99
28,LukasMMarinovic,LukasMMarinovic,33.33333333333333,2,functions,0.333333
29,daapinzonch,daapinzonch,25.0,2,functions,0.25
30,bzin22,bzin22,7.4074074074074066,2,functions,0.074074
31,bfprietoc,bfprietoc,100.0,2,functions,0.99
32,frnkbs,frnkbs,57.14285714285714,2,functions,0.571429
33,lennwgs,lennwgs,100.0,2,functions,0.99
34,vvargasd,vvargasd,100.0,2,functions,0.99
35,CampbellC2,CampbellC2,12.5,2,functions,0.125
36,Orloffyeah,Orloffyeah,33.33333333333333,2,functions,0.333333
37,GeoffYart,GeoffYart,64.28571428571429,2,functions,0.642857
38,aclipfel,aclipfel,100.0,2,functions,0.99
39,anythinglord,anythinglord,12.0,2,functions,0.12
40,Jfcastroh,Jfcastroh,100.0,2,functions,0.99
41,biherrerap,biherrerap,100.0,2,functions,0.99
42,Ilyumzhinov,Ilyumzhinov,100.0,2,functions,0.99
43,nbraunec,nbraunec,12.5,2,functions,0.125
44,ecottle,ecottle,66.66666666666666,2,functions,0.666667
45,Ozai98,Ozai98,78.57142857142857,2,functions,0.785714
46,dieguischa,dieguischa,2.34375,2,functions,0.023438
47,Acreed21,Acreed21,100.0,2,functions,0.99
48,mdecloedt,mdecloedt,68.0,3,functions,0.68
49,zhao744,zhao744,27.058823529411764,3,functions,0.270588
50,daapinzonch,daapinzonch,12.0,3,functions,0.12
51,shivans,shivans,100.0,3,functions,0.99
52,criscapunal,criscapunal,82.85714285714286,3,functions,0.828571
53,JorgeTorresC,JorgeTorresC,100.0,3,functions,0.99
54,LukasMMarinovic,LukasMMarinovic,100.0,3,functions,0.99
55,LauraMolina,LauraMolina,100.0,3,functions,0.99
56,bzin22,bzin22,29.310344827586203,3,functions,0.293103
57,CampbellC2,CampbellC2,10.256410256410255,3,functions,0.102564
58,Joacampora,Joacampora,80.0,3,functions,0.8
59,aclipfel,aclipfel,100.0,3,functions,0.99
60,Alekzu,Alekzu,50.0,3,functions,0.5
61,whipplem123,whipplem123,100.0,3,functions,0.99
62,Nigogu,Nigogu,36.17021276595745,3,functions,0.361702
63,Sariilan,Sariilan,100.0,3,functions,0.99
64,nviverosb,nviverosb,66.66666666666666,3,functions,0.666667
65,Gavnic,Gavnic,28.57142857142857,3,functions,0.285714
66,Ilyumzhinov,Ilyumzhinov,100.0,3,functions,0.99
67,matson3,matson3,69.56521739130434,3,functions,0.695652
68,viswapurdue,viswapurdue,8.823529411764707,3,functions,0.088235
69,yaochoal,yaochoal,26.666666666666668,3,functions,0.266667
70,DiegoAraque1207,DiegoAraque1207,28.57142857142857,3,functions,0.285714
71,Daryhez,Daryhez,100.0,3,functions,0.99
72,daapinzonch,daapinzonch,9.375,4,functions,0.09375
73,daapinzonch,daapinzonch,57.89473684210527,4,functions,0.578947
74,mdecloedt,mdecloedt,53.333333333333336,4,functions,0.533333
75,zhao744,zhao744,87.8048780487805,4,functions,0.878049
76,hihms,hihms,94.11764705882352,4,functions,0.941176
77,shivans,shivans,100.0,4,functions,0.99
78,jmhunter4711,jmhunter4711,100.0,4,functions,0.99
79,criscapunal,criscapunal,60.0,4,functions,0.6
80,LauraMolina,LauraMolina,100.0,4,functions,0.99
81,olimita,olimita,91.25,4,functions,0.9125
82,snugghash,snugghash,77.77777777777779,4,functions,0.777778
83,Joacampora,Joacampora,79.36507936507937,4,functions,0.793651
84,littlex2015,littlex2015,100.0,4,functions,0.99
85,SionHu,SionHu,100.0,4,functions,0.99
86,Alekzu,Alekzu,50.0,4,functions,0.5
87,jmamaril25,jmamaril25,57.65765765765766,4,functions,0.576577
88,whipplem123,whipplem123,87.5,4,functions,0.875
89,AkaGar,AkaGar,73.07692307692307,4,functions,0.730769
90,ko68,ko68,52.87356321839081,4,functions,0.528736
91,Nigogu,Nigogu,91.83673469387756,4,functions,0.918367
92,Sariilan,Sariilan,100.0,4,functions,0.99
93,nviverosb,nviverosb,4.761904761904762,4,functions,0.047619
94,Gavnic,Gavnic,100.0,4,functions,0.99
95,Camiioo,Camiioo,100.0,4,functions,0.99
96,matson3,matson3,45.0261780104712,4,functions,0.450262
97,yaochoal,yaochoal,8.51063829787234,4,functions,0.085106
98,viswapurdue,viswapurdue,100.0,4,functions,0.99
99,SergioLopez40,SergioLopez40,50.0,4,functions,0.5
100,DiegoAraque1207,DiegoAraque1207,52.5,4,functions,0.525
101,sanjitsama,sanjitsama,100.0,4,functions,0.99
102,Daryhez,Daryhez,100.0,4,functions,0.99
103,BrandonAvilanR,BrandonAvilanR,60.7,1,complete,0.607
104,DaniCastel,DaniCastel,87.8,1,complete,0.878
105,DaveValencia,DaveValencia,67.4,1,complete,0.674
106,Orloffyeah,Orloffyeah,27.299999999999997,1,complete,0.273
107,alejosaur,alejosaur,0.09999999999999432,1,complete,0.001
108,anythinglord,anythinglord,50.6,1,complete,0.506
109,buendiagon,buendiagon,67.4,1,complete,0.674
110,cglaitong,cglaitong,5.700000000000003,1,complete,0.057
111,criscapunal,criscapunal,43.6,1,complete,0.436
112,csalfonsol,csalfonsol,87.6,1,complete,0.876
113,dieguischa,dieguischa,22.799999999999997,1,complete,0.228
114,jaasuarezvi,jaasuarezvi,67.4,1,complete,0.674
115,tres-xxx,tres-xxx,67.4,1,complete,0.674
116,BrandonAvilanR,BrandonAvilanR,60.8,2,complete,0.608
117,DaniCastel,DaniCastel,36.0,2,complete,0.36
118,DaveValencia,DaveValencia,67.4,2,complete,0.674
119,Orloffyeah,Orloffyeah,25.200000000000003,2,complete,0.252
120,alejosaur,alejosaur,0.0,2,complete,0.01
121,anythinglord,anythinglord,77.3,2,complete,0.773
122,buendiagon,buendiagon,67.4,2,complete,0.674
123,cglaitong,cglaitong,20.5,2,complete,0.205
124,criscapunal,criscapunal,59.1,2,complete,0.591
125,csalfonsol,csalfonsol,76.1,2,complete,0.761
126,dieguischa,dieguischa,16.5,2,complete,0.165
127,jaasuarezvi,jaasuarezvi,67.4,2,complete,0.674
128,tres-xxx,tres-xxx,67.4,2,complete,0.674
129,BrandonAvilanR,BrandonAvilanR,38.3,3,complete,0.383
130,DSFarfanF,DSFarfanF,67.4,3,complete,0.674
131,DaniCastel,DaniCastel,79.7,3,complete,0.797
132,DaveValencia,DaveValencia,67.4,3,complete,0.674
133,JorgeTorresC,JorgeTorresC,29.099999999999994,3,complete,0.291
134,Orloffyeah,Orloffyeah,24.799999999999997,3,complete,0.248
135,Saariasba,Saariasba,100.0,3,complete,0.99
136,SergioLopez40,SergioLopez40,71.2,3,complete,0.712
137,alejosaur,alejosaur,0.0,3,complete,0.01
138,anythinglord,anythinglord,39.2,3,complete,0.392
139,buendiagon,buendiagon,67.4,3,complete,0.674
140,cglaitong,cglaitong,21.099999999999994,3,complete,0.211
