,link1_change,link2_change,ssim_exp,stage,comparison_type
0,diefrodriguezcha,diefrodriguezcha,31.818181818181817,1,functions
1,adcorredorm,adcorredorm,27.27272727272727,1,functions
2,DaveValencia,DaveValencia,100.0,1,functions
3,pahigueraf,pahigueraf,48.484848484848484,1,functions
4,jannMorenoJ,jannMorenoJ,36.0,1,functions
5,trickyjuggler,trickyjuggler,12.195121951219512,1,functions
6,casc3798,casc3798,63.63636363636363,1,functions
7,csalfonsol,csalfonsol,40.0,1,functions
8,jsalcinar,jsalcinar,17.857142857142858,1,functions
9,jdgaitanf,jdgaitanf,18.75,1,functions
10,DSFarfanF,DSFarfanF,100.0,1,functions
11,GabrielUnal,GabrielUnal,100.0,1,functions
12,buendiagon,buendiagon,100.0,1,functions
13,Anvido,Anvido,34.883720930232556,1,functions
14,dcastanedar,dcastanedar,100.0,1,functions
15,federgolo,federgolo,16.666666666666664,1,functions
16,RafaelCruz15,RafaelCruz15,85.71428571428571,1,functions
17,Jufcardenasmo,Jufcardenasmo,33.33333333333333,1,functions
18,bsdiaza,bsdiaza,100.0,1,functions
19,gimg1859,gimg1859,100.0,2,functions
20,FredyRosero,FredyRosero,42.45283018867924,2,functions
21,StevenEsmar,StevenEsmar,33.33333333333333,2,functions
22,serbatero,serbatero,100.0,2,functions
23,adcorredorm,adcorredorm,27.27272727272727,2,functions
24,DaveValencia,DaveValencia,100.0,2,functions
25,diefrodriguezcha,diefrodriguezcha,13.636363636363635,2,functions
26,trickyjuggler,trickyjuggler,44.5945945945946,2,functions
27,jannMorenoJ,jannMorenoJ,11.538461538461538,2,functions
28,casc3798,casc3798,35.714285714285715,2,functions
29,buendiagon,buendiagon,100.0,2,functions
30,DSFarfanF,DSFarfanF,100.0,2,functions
31,GabrielUnal,GabrielUnal,100.0,2,functions
32,jsalcinar,jsalcinar,22.448979591836736,2,functions
33,jdgaitanf,jdgaitanf,60.0,2,functions
34,RafaelCruz15,RafaelCruz15,37.5,2,functions
35,gimg1859,gimg1859,100.0,3,functions
36,StevenEsmar,StevenEsmar,33.33333333333333,3,functions
37,jssanchezo,jssanchezo,100.0,3,functions
38,serbatero,serbatero,37.5,3,functions
39,jannMorenoJ,jannMorenoJ,100.0,3,functions
40,dcastanedar,dcastanedar,100.0,3,functions
41,DSFarfanF,DSFarfanF,100.0,3,functions
42,GabrielUnal,GabrielUnal,6.8181818181818175,3,functions
43,jdgaitanf,jdgaitanf,11.538461538461538,3,functions
44,Jufcardenasmo,Jufcardenasmo,21.686746987951807,3,functions
45,RafaelCruz15,RafaelCruz15,100.0,3,functions
46,dahrojasca,dahrojasca,28.57142857142857,4,functions
47,jssanchezo,jssanchezo,100.0,4,functions
48,anferoar96,anferoar96,100.0,4,functions
49,pahigueraf,pahigueraf,78.3068783068783,4,functions
50,csalfonsol,csalfonsol,57.971014492753625,4,functions
51,federgolo,federgolo,40.67796610169492,4,functions
52,dcastanedar,dcastanedar,100.0,4,functions
53,Anvido,Anvido,70.17543859649122,4,functions
54,bsdiaza,bsdiaza,100.0,4,functions
55,Jufcardenasmo,Jufcardenasmo,90.58823529411765,4,functions
56,FredyRosero,FredyRosero,96.0,1,maps
57,LauraMolina,LauraMolina,72.8,1,maps
58,RafaelCruz15,RafaelCruz15,78.8,1,maps
59,davideperdomo,davideperdomo,73.4,1,maps
60,jannMorenoJ,jannMorenoJ,56.3,1,maps
61,pahigueraf,pahigueraf,76.4,1,maps
62,Acreed21,Acreed21,71.3,1,complete
63,Camiioo,Camiioo,50.7,1,complete
64,FredyRosero,FredyRosero,96.0,1,complete
65,JamerMejiaGarcia,JamerMejiaGarcia,60.7,1,complete
66,Jfcastroh,Jfcastroh,0.0,1,complete
67,LauraMolina,LauraMolina,64.2,1,complete
68,RafaelCruz15,RafaelCruz15,67.8,1,complete
69,adcorredorm,adcorredorm,62.7,1,complete
