,DiegoAraque1207,Caadiazsi,GabrielUnal,Joacampora,Juankmilo97,bsdiaza,casc3798,diefrodriguezcha,federgolo,jaleonro,jsalcinar,nviverosb,olimita,sebcamacho1703,serbatero,xFortich,yaochoal,Jufcardenasmo,Anvido,Alekzu,Biopeligro,DavidsMartinez,Gavnic,Gusgal03,Ozai98,Sariilan,facuellarg,garayf,jssanchezo
DiegoAraque1207,0.0,100.0,28.2,57.8,71.2,28.2,65.5,59.2,54.5,85.1,24.8,61.0,67.7,28.2,55.0,39.5,57.5,26.7,20.5,26.9,40.5,100.0,28.2,28.2,39.3,28.2,28.2,40.7,28.2
Caadiazsi,100.0,0.0,100.0,51.2,41.7,100.0,53.7,18.0,54.5,17.8,39.7,57.1,54.7,100.0,9.1,45.7,45.4,35.0,22.2,73.9,66.7,100.0,100.0,100.0,7.2,100.0,100.0,25.1,100.0
GabrielUnal,28.2,100.0,0.0,6.7,12.8,38.8,25.8,12.1,16.3,2.3,4.8,40.8,15.1,38.8,7.7,4.8,4.6,46.9,20.5,26.9,40.5,100.0,38.8,38.8,4.7,38.8,38.8,1.8,38.8
Joacampora,57.8,51.2,6.7,0.0,68.5,28.0,55.4,49.3,49.3,47.8,21.4,53.8,56.0,28.0,52.6,33.7,46.4,37.3,13.1,7.5,45.4,51.2,63.4,39.3,28.9,28.0,28.0,31.3,28.0
Juankmilo97,71.2,41.7,12.8,68.5,0.0,53.7,69.3,54.5,49.3,20.0,24.2,84.5,54.1,53.7,45.4,31.8,35.2,45.7,18.0,11.7,47.2,41.7,61.3,39.8,28.3,53.7,53.7,13.5,53.7
bsdiaza,28.2,100.0,38.8,28.0,53.7,0.0,60.1,54.9,50.2,35.8,29.6,60.6,60.7,34.0,60.1,45.2,56.1,35.0,20.5,26.9,40.5,100.0,36.5,46.9,0.1,100.0,34.0,24.2,34.0
casc3798,65.5,53.7,25.8,55.4,69.3,60.1,0.0,58.1,55.3,8.1,9.1,81.4,71.1,53.7,45.6,25.6,19.3,58.2,18.8,20.1,50.3,53.7,69.5,45.6,45.8,53.7,53.7,6.9,53.7
diefrodriguezcha,59.2,18.0,12.1,49.3,54.5,54.9,58.1,0.0,47.5,35.9,31.9,57.1,56.3,18.0,44.6,10.8,55.4,22.8,18.1,11.9,33.9,18.0,53.5,20.3,41.8,18.0,18.0,32.9,18.0
federgolo,54.5,54.5,16.3,49.3,49.3,50.2,55.3,47.5,0.0,17.6,24.2,57.0,37.4,12.3,32.9,24.4,27.8,55.9,16.3,14.8,54.5,54.5,54.8,46.3,43.5,54.5,39.2,17.2,12.3
jaleonro,85.1,17.8,2.3,47.8,20.0,35.8,8.1,35.9,17.6,0.0,24.6,28.5,34.5,17.8,46.5,34.0,56.5,19.7,37.9,43.0,23.1,17.8,8.5,15.1,8.6,17.8,12.8,53.0,17.8
