,DiegoAraque1207,Caadiazsi,GabrielUnal,Joacampora,Juankmilo97,bsdiaza,casc3798,diefrodriguezcha,federgolo,jaleonro,jsalcinar,nviverosb,olimita,sebcamacho1703,serbatero,xFortich,yaochoal,Jufcardenasmo
DiegoAraque1207,0.0,20.7,0.0,29.6,23.2,0.0,23.3,30.7,24.0,25.7,28.1,31.9,26.5,0.0,22.3,28.0,32.4,33.7
Caadiazsi,20.7,0.0,27.4,21.7,16.9,24.7,12.7,34.0,13.1,25.3,18.9,37.1,29.5,16.4,12.4,28.3,38.0,0.0
GabrielUnal,0.0,27.4,0.0,27.5,22.4,0.0,15.4,28.4,16.5,25.0,26.7,33.8,26.5,0.0,14.3,28.3,30.0,30.8
Joacampora,29.6,21.7,27.5,0.0,22.4,31.7,25.9,29.6,25.3,18.0,25.5,28.7,20.3,24.7,21.5,6.0,32.5,30.3
Juankmilo97,23.2,16.9,22.4,22.4,0.0,22.7,19.5,24.8,19.8,14.6,22.8,25.9,22.7,19.9,17.3,4.5,25.6,25.1
bsdiaza,0.0,24.7,0.0,31.7,22.7,0.0,26.5,25.6,20.0,28.2,29.6,24.2,28.1,0.0,19.6,21.6,48.3,26.7
casc3798,23.3,12.7,15.4,25.9,19.5,26.5,0.0,18.2,20.9,24.5,20.8,24.6,25.2,21.5,19.9,27.5,30.2,27.5
diefrodriguezcha,30.7,34.0,28.4,29.6,24.8,25.6,18.2,0.0,28.4,29.6,32.8,42.4,32.8,23.6,20.0,35.8,37.6,38.8
federgolo,24.0,13.1,16.5,25.3,19.8,20.0,20.9,28.4,0.0,20.6,20.8,26.0,21.3,20.9,17.9,23.0,23.7,25.4
jaleonro,25.7,25.3,25.0,18.0,14.6,28.2,24.5,29.6,20.6,0.0,16.7,26.1,24.1,23.4,19.6,24.9,31.0,28.9
jsalcinar,28.1,18.9,26.7,25.5,22.8,29.6,20.8,32.8,20.8,16.7,0.0,30.6,25.9,22.3,15.6,28.2,30.7,30.0
nviverosb,31.9,37.1,33.8,28.7,25.9,24.2,24.6,42.4,26.0,26.1,30.6,0.0,27.8,25.8,24.3,30.3,44.4,32.7
olimita,26.5,29.5,26.5,20.3,22.7,28.1,25.2,32.8,21.3,24.1,25.9,27.8,0.0,22.4,20.8,7.9,34.7,31.0
sebcamacho1703,0.0,16.4,0.0,24.7,19.9,0.0,21.5,23.6,20.9,23.4,22.3,25.8,22.4,0.0,14.5,23.7,26.8,27.0
serbatero,22.3,12.4,14.3,21.5,17.3,19.6,19.9,20.0,17.9,19.6,15.6,24.3,20.8,14.5,0.0,22.6,24.4,25.9
xFortich,28.0,28.3,28.3,6.0,4.5,21.6,27.5,35.8,23.0,24.9,28.2,30.3,7.9,23.7,22.6,0.0,37.8,28.7
yaochoal,32.4,38.0,30.0,32.5,25.6,48.3,30.2,37.6,23.7,31.0,30.7,44.4,34.7,26.8,24.4,37.8,0.0,47.4
Jufcardenasmo,33.7,0.0,30.8,30.3,25.1,26.7,27.5,38.8,25.4,28.9,30.0,32.7,31.0,27.0,25.9,28.7,47.4,0.0
