,BrandonAvilanR,DaniCastel,JorgeTorresC,Orloffyeah,SergioLopez40,alejosaur,anythinglord,cglaitong,criscapunal,csalfonsol,daapinzonch,dcastanedar,jdsolanos,Daryhez,JulianM96,Saariasba,StevenEsmar,anferoar96,evilcucaracha,trickyjuggler
BrandonAvilanR,0.0,30.0,29.9,34.8,0.0,25.3,30.9,31.6,28.0,25.4,31.8,0.0,30.8,33.5,11.5,40.8,32.2,33.7,19.6,28.9
DaniCastel,30.0,0.0,6.6,8.3,26.5,5.3,8.2,8.5,6.5,7.6,7.5,26.3,7.8,7.9,7.2,10.8,7.4,8.7,8.6,7.0
JorgeTorresC,29.9,6.6,0.0,6.5,25.3,4.4,6.5,6.7,5.2,6.1,6.0,23.9,6.2,6.0,3.0,8.3,5.7,6.8,5.1,5.7
Orloffyeah,34.8,8.3,6.5,0.0,33.4,29.0,31.6,34.5,34.1,26.4,34.0,32.5,29.7,36.4,12.5,50.2,33.1,32.8,25.1,26.2
SergioLopez40,0.0,26.5,25.3,33.4,0.0,24.1,32.6,34.4,27.4,31.3,30.3,0.0,29.1,30.3,10.9,43.1,27.6,33.1,25.3,29.3
alejosaur,25.3,5.3,4.4,29.0,24.1,0.0,38.2,38.5,26.3,36.8,38.0,26.0,38.1,38.6,11.1,40.7,38.1,38.9,22.8,37.1
anythinglord,30.9,8.2,6.5,31.6,32.6,38.2,0.0,30.9,30.7,24.7,31.1,28.0,30.2,34.2,12.5,43.9,32.0,31.9,21.9,24.1
cglaitong,31.6,8.5,6.7,34.5,34.4,38.5,30.9,0.0,27.6,23.2,28.1,29.0,27.1,30.7,10.6,40.2,28.1,30.0,20.5,21.9
criscapunal,28.0,6.5,5.2,34.1,27.4,26.3,30.7,27.6,0.0,12.6,22.5,29.4,22.5,15.5,5.1,22.5,12.2,22.5,22.6,12.2
csalfonsol,25.4,7.6,6.1,26.4,31.3,36.8,24.7,23.2,12.6,0.0,32.3,22.2,31.5,34.1,11.6,42.4,32.7,32.5,20.4,26.5
daapinzonch,31.8,7.5,6.0,34.0,30.3,38.0,31.1,28.1,22.5,32.3,0.0,29.4,33.0,37.8,13.2,51.2,35.5,39.3,23.6,27.6
dcastanedar,0.0,26.3,23.9,32.5,0.0,26.0,28.0,29.0,29.4,22.2,29.4,0.0,24.4,28.5,11.5,41.3,26.4,25.7,22.1,23.4
jdsolanos,30.8,7.8,6.2,29.7,29.1,38.1,30.2,27.1,22.5,31.5,33.0,24.4,0.0,29.6,11.3,41.5,27.5,28.3,21.9,23.9
Daryhez,33.5,7.9,6.0,36.4,30.3,38.6,34.2,30.7,15.5,34.1,37.8,28.5,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JulianM96,11.5,7.2,3.0,12.5,10.9,11.1,12.5,10.6,5.1,11.6,13.2,11.5,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saariasba,40.8,10.8,8.3,50.2,43.1,40.7,43.9,40.2,22.5,42.4,51.2,41.3,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StevenEsmar,32.2,7.4,5.7,33.1,27.6,38.1,32.0,28.1,12.2,32.7,35.5,26.4,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anferoar96,33.7,8.7,6.8,32.8,33.1,38.9,31.9,30.0,22.5,32.5,39.3,25.7,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evilcucaracha,19.6,8.6,5.1,25.1,25.3,22.8,21.9,20.5,22.6,20.4,23.6,22.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trickyjuggler,28.9,7.0,5.7,26.2,29.3,37.1,24.1,21.9,12.2,26.5,27.6,23.4,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
