,Alekzu,DiegoAraque1207,GabrielUnal,Joacampora,Juankmilo97,Jufcardenasmo,bsdiaza,casc3798,diefrodriguezcha,federgolo,nviverosb,olimita,serbatero,yaochoal,jaleonro,jsalcinar,sebcamacho1703,xFortich,Anvido,Biopeligro,Caadiazsi,DavidsMartinez,Gavnic,Gusgal03,Ozai98,Sariilan,facuellarg,garayf,jssanchezo
Alekzu,0.0,3.1,79.4,3.6,4.5,7.4,2.8,5.0,36.9,0.8,7.6,4.9,1.3,3.9,2.1,4.5,1.3,5.8,3.8,6.0,36.1,36.1,4.6,21.2,14.5,36.1,26.7,1.8,36.1
DiegoAraque1207,3.1,0.0,53.8,49.1,25.8,26.7,38.7,61.5,57.7,38.5,61.0,67.5,57.9,57.6,85.1,26.2,28.2,38.4,37.8,57.5,28.2,28.2,55.7,22.3,16.8,28.2,27.0,40.7,28.2
GabrielUnal,79.4,53.8,0.0,4.4,4.5,46.9,3.9,16.1,11.4,6.9,40.8,15.1,7.1,4.6,2.3,5.3,3.1,5.4,34.2,18.3,38.8,38.8,17.7,26.8,69.0,38.8,31.5,1.8,38.8
Joacampora,3.6,49.1,4.4,0.0,18.7,33.4,28.3,41.9,36.1,24.9,54.6,45.7,41.7,42.6,45.3,18.2,20.4,29.5,22.1,45.6,28.0,28.0,42.4,23.7,11.8,27.7,18.3,29.4,27.7
Juankmilo97,4.5,25.8,4.5,18.7,0.0,45.7,31.5,53.5,53.0,21.9,84.5,55.7,42.6,35.6,20.2,26.6,23.9,32.9,10.4,56.6,53.7,53.7,35.5,45.2,11.7,53.7,39.0,13.7,53.7
Jufcardenasmo,7.4,26.7,46.9,33.4,45.7,0.0,32.5,58.2,22.8,35.9,15.7,51.5,8.3,49.9,19.4,45.4,34.6,58.6,22.4,40.2,35.0,35.0,32.5,33.9,6.3,35.0,11.9,21.6,35.0
bsdiaza,2.8,38.7,3.9,28.3,31.5,32.5,0.0,65.9,55.0,47.0,58.6,78.2,58.8,57.4,36.5,28.2,31.3,47.8,17.2,52.5,34.0,34.0,45.5,27.4,14.6,34.0,24.1,31.8,32.2
casc3798,5.0,61.5,16.1,41.9,53.5,58.2,65.9,0.0,57.4,19.8,81.4,70.5,41.8,19.3,8.0,10.0,15.8,23.3,15.0,64.0,53.7,53.7,32.9,45.6,58.3,53.7,38.6,6.9,53.7
diefrodriguezcha,36.9,57.7,11.4,36.1,53.0,22.8,55.0,57.4,0.0,39.3,57.1,55.9,44.1,54.1,36.8,27.2,52.0,58.2,17.3,35.6,18.0,18.0,18.7,20.3,43.3,18.0,3.9,33.7,18.0
federgolo,0.8,38.5,6.9,24.9,21.9,35.9,47.0,19.8,39.3,0.0,57.0,37.3,32.5,27.1,17.5,24.4,18.1,24.6,16.0,35.6,12.3,12.3,40.7,13.8,24.3,12.3,12.3,17.0,12.3
nviverosb,7.6,61.0,40.8,54.6,84.5,15.7,58.6,81.4,57.1,57.0,0.0,49.1,18.2,65.1,28.5,47.4,67.9,60.7,17.9,75.5,57.1,57.1,52.8,9.9,34.3,57.1,57.1,36.7,57.1
olimita,4.9,67.5,15.1,45.7,55.7,51.5,78.2,70.5,55.9,37.3,49.1,0.0,54.7,24.8,34.1,11.6,18.3,27.4,16.0,64.8,54.7,54.7,41.6,46.5,67.1,54.7,54.7,30.6,54.7
serbatero,1.3,57.9,7.1,41.7,42.6,8.3,58.8,41.8,44.1,32.5,18.2,54.7,0.0,17.5,48.9,7.5,51.0,14.9,16.8,37.0,9.1,9.1,30.8,6.8,43.6,9.1,9.1,43.4,9.1
yaochoal,3.9,57.6,4.6,42.6,35.6,49.9,57.4,19.3,54.1,27.1,65.1,24.8,17.5,0.0,56.5,52.1,76.9,78.7,25.8,58.5,45.4,45.4,66.5,38.7,23.6,45.4,45.4,42.0,45.4
jaleonro,2.1,85.1,2.3,45.3,20.2,19.4,36.5,8.0,36.8,17.5,28.5,34.1,48.9,56.5,0.0,25.4,23.5,31.1,37.9,23.1,17.8,17.8,38.3,15.1,10.4,17.8,17.8,52.9,17.8
jsalcinar,4.5,26.2,5.3,18.2,26.6,45.4,28.2,10.0,27.2,24.4,47.4,11.6,7.5,52.1,25.4,0.0,56.3,57.5,14.7,29.1,39.7,39.7,40.4,36.4,12.9,39.7,39.7,20.5,39.7
sebcamacho1703,1.3,28.2,3.1,20.4,23.9,34.6,31.3,15.8,52.0,18.1,67.9,18.3,51.0,76.9,23.5,56.3,0.0,96.1,11.6,50.6,23.1,23.1,44.0,24.7,17.3,23.1,23.1,20.0,23.1
xFortich,5.8,38.4,5.4,29.5,32.9,58.6,47.8,23.3,58.2,24.6,60.7,27.4,14.9,78.7,31.1,57.5,96.1,0.0,16.5,68.0,54.1,54.1,65.6,46.0,25.9,54.1,54.1,26.8,54.1
Anvido,3.8,37.8,34.2,22.1,10.4,22.4,17.2,15.0,17.3,16.0,17.9,16.0,16.8,25.8,37.9,14.7,11.6,16.5,0.0,13.7,20.5,20.5,15.0,18.6,9.7,20.5,17.3,20.6,20.5
Biopeligro,6.0,57.5,18.3,45.6,56.6,40.2,52.5,64.0,35.6,35.6,75.5,64.8,37.0,58.5,23.1,29.1,50.6,68.0,13.7,0.0,40.5,40.5,58.7,34.7,47.6,40.5,31.4,19.9,40.5
Caadiazsi,36.1,28.2,38.8,28.0,53.7,35.0,34.0,53.7,18.0,12.3,57.1,54.7,9.1,45.4,17.8,39.7,23.1,54.1,20.5,40.5,0.0,100.0,36.5,46.9,0.1,100.0,27.6,25.1,100.0
DavidsMartinez,36.1,28.2,38.8,28.0,53.7,35.0,34.0,53.7,18.0,12.3,57.1,54.7,9.1,45.4,17.8,39.7,23.1,54.1,20.5,40.5,100.0,0.0,36.5,46.9,0.1,100.0,27.6,25.1,100.0
Gavnic,4.6,55.7,17.7,42.4,35.5,32.5,45.5,32.9,18.7,40.7,52.8,41.6,30.8,66.5,38.3,40.4,44.0,65.6,15.0,58.7,36.5,36.5,0.0,24.4,33.1,28.5,20.3,37.0,28.5
Gusgal03,21.2,22.3,26.8,23.7,45.2,33.9,27.4,45.6,20.3,13.8,9.9,46.5,6.8,38.7,15.1,36.4,24.7,46.0,18.6,34.7,46.9,46.9,24.4,0.0,0.0,46.9,28.8,20.2,46.9
Ozai98,14.5,16.8,69.0,11.8,11.7,6.3,14.6,58.3,43.3,24.3,34.3,67.1,43.6,23.6,10.4,12.9,17.3,25.9,9.7,47.6,0.1,0.1,33.1,0.0,0.0,0.0,0.0,10.3,0.0
Sariilan,36.1,28.2,38.8,27.7,53.7,35.0,34.0,53.7,18.0,12.3,57.1,54.7,9.1,45.4,17.8,39.7,23.1,54.1,20.5,40.5,100.0,100.0,28.5,46.9,0.0,0.0,27.6,25.1,100.0
facuellarg,26.7,27.0,31.5,18.3,39.0,11.9,24.1,38.6,3.9,12.3,57.1,54.7,9.1,45.4,17.8,39.7,23.1,54.1,17.3,31.4,27.6,27.6,20.3,28.8,0.0,27.6,0.0,25.1,100.0
garayf,1.8,40.7,1.8,29.4,13.7,21.6,31.8,6.9,33.7,17.0,36.7,30.6,43.4,42.0,52.9,20.5,20.0,26.8,20.6,19.9,25.1,25.1,37.0,20.2,10.3,25.1,25.1,0.0,25.1
jssanchezo,36.1,28.2,38.8,27.7,53.7,35.0,32.2,53.7,18.0,12.3,57.1,54.7,9.1,45.4,17.8,39.7,23.1,54.1,20.5,40.5,100.0,100.0,28.5,46.9,0.0,100.0,100.0,25.1,0.0
