,Alekzu,DiegoAraque1207,GabrielUnal,Joacampora,Juankmilo97,Jufcardenasmo,bsdiaza,casc3798,diefrodriguezcha,federgolo,nviverosb,olimita,serbatero,yaochoal,jaleonro,jsalcinar,sebcamacho1703,xFortich
Alekzu,0.0,22.6,25.4,21.7,18.1,0.0,25.6,17.7,28.7,17.7,24.2,18.5,17.2,27.8,16.7,21.4,18.2,5.8
DiegoAraque1207,22.6,0.0,28.5,26.8,23.2,33.7,28.1,23.3,33.2,22.5,31.9,26.5,22.3,32.4,24.5,26.4,23.3,25.7
GabrielUnal,25.4,28.5,0.0,26.9,22.4,30.8,23.7,15.4,30.8,15.7,33.8,26.5,14.3,29.9,23.8,25.2,21.6,25.5
Joacampora,21.7,26.8,26.9,0.0,27.8,30.3,34.5,28.8,42.1,27.6,36.8,33.0,27.0,38.0,20.3,32.9,27.2,7.4
Juankmilo97,18.1,23.2,22.4,27.8,0.0,25.1,22.7,19.5,26.4,19.1,25.9,22.7,17.3,25.6,14.1,22.5,19.9,4.8
Jufcardenasmo,0.0,33.7,30.8,30.3,25.1,0.0,26.7,27.5,38.8,25.4,32.7,31.0,25.9,47.4,28.9,30.0,27.0,28.7
bsdiaza,25.6,28.1,23.7,34.5,22.7,26.7,0.0,27.5,27.7,21.3,25.9,34.0,21.4,51.0,29.2,23.6,23.6,24.0
casc3798,17.7,23.3,15.4,28.8,19.5,27.5,27.5,0.0,19.5,20.3,24.6,25.2,19.9,30.1,23.3,16.2,21.5,25.7
diefrodriguezcha,28.7,33.2,30.8,42.1,26.4,38.8,27.7,19.5,0.0,18.8,37.9,29.5,17.9,34.4,25.6,26.9,23.5,28.7
federgolo,17.7,22.5,15.7,27.6,19.1,25.4,21.3,20.3,18.8,0.0,26.0,26.4,20.1,29.2,22.6,16.7,16.5,25.0
nviverosb,24.2,31.9,33.8,36.8,25.9,32.7,25.9,24.6,37.9,26.0,0.0,27.8,24.3,44.3,26.1,30.6,25.8,28.6
olimita,18.5,26.5,26.5,33.0,22.7,31.0,34.0,25.2,29.5,26.4,27.8,0.0,20.8,34.7,24.1,25.9,22.4,8.6
serbatero,17.2,22.3,14.3,27.0,17.3,25.9,21.4,19.9,17.9,20.1,24.3,20.8,0.0,24.3,19.6,15.6,14.5,20.6
yaochoal,27.8,32.4,29.9,38.0,25.6,47.4,51.0,30.1,34.4,29.2,44.3,34.7,24.3,0.0,31.0,30.7,26.8,37.8
jaleonro,16.7,24.5,23.8,20.3,14.1,28.9,29.2,23.3,25.6,22.6,26.1,24.1,19.6,31.0,0.0,0.0,0.0,0.0
jsalcinar,21.4,26.4,25.2,32.9,22.5,30.0,23.6,16.2,26.9,16.7,30.6,25.9,15.6,30.7,0.0,0.0,0.0,0.0
sebcamacho1703,18.2,23.3,21.6,27.2,19.9,27.0,23.6,21.5,23.5,16.5,25.8,22.4,14.5,26.8,0.0,0.0,0.0,0.0
xFortich,5.8,25.7,25.5,7.4,4.8,28.7,24.0,25.7,28.7,25.0,28.6,8.6,20.6,37.8,0.0,0.0,0.0,0.0
