,user1,user2,user1_phase,user2_phase,similarity,stage,exploration,comparison_type,ssim_exp,link1_change,link2_change,group,exp_scale
842,biherrerap,biherrerap,1,2,0.5,1,0.5,functions,50.0,biherrerap,biherrerap,0,0.5
2530,Nigogu,Nigogu,1,2,0.6666666666666666,1,0.33333333333333337,functions,66.66666666666666,Nigogu,Nigogu,0,0.666667
2969,Alekzu,Alekzu,1,2,1.0,1,0.0,functions,100.0,Alekzu,Alekzu,0,1.0
4507,Camiioo,Camiioo,1,2,1.0,1,0.0,functions,100.0,Camiioo,Camiioo,0,1.0
4778,Gavnic,Gavnic,1,2,1.0,1,0.0,functions,100.0,Gavnic,Gavnic,0,1.0
4871,Sariilan,Sariilan,1,2,1.0,1,0.0,functions,100.0,Sariilan,Sariilan,0,1.0
4961,nviverosb,nviverosb,1,2,0.5925925925925926,1,0.40740740740740744,functions,59.25925925925925,nviverosb,nviverosb,0,0.592593
5231,dieguischa,dieguischa,1,2,0.058823529411764705,1,0.9411764705882353,functions,5.88235294117647,dieguischa,dieguischa,0,0.058824
5319,Acreed21,Acreed21,1,2,0.25,1,0.75,functions,25.0,Acreed21,Acreed21,0,0.25
5879,Ozai98,Ozai98,1,2,1.0,1,0.0,functions,100.0,Ozai98,Ozai98,0,1.0
5976,Daryhez,Daryhez,1,2,0.047619047619047616,1,0.9523809523809523,functions,4.761904761904762,Daryhez,Daryhez,0,0.047619
6057,DiegoAraque1207,DiegoAraque1207,1,2,0.6,1,0.4,functions,60.0,DiegoAraque1207,DiegoAraque1207,0,0.6
6130,SergioLopez40,SergioLopez40,1,2,1.0,1,0.0,functions,100.0,SergioLopez40,SergioLopez40,0,1.0
6197,yaochoal,yaochoal,1,2,0.15,1,0.85,functions,15.0,yaochoal,yaochoal,0,0.15
399,JorgeTorresC,JorgeTorresC,2,3,1.0,2,0.0,functions,100.0,JorgeTorresC,JorgeTorresC,0,1.0
1295,daapinzonch,daapinzonch,2,3,0.25,2,0.75,functions,25.0,daapinzonch,daapinzonch,0,0.25
3253,bfprietoc,bfprietoc,2,3,1.0,2,0.0,functions,100.0,bfprietoc,bfprietoc,0,1.0
3357,frnkbs,frnkbs,2,3,0.5714285714285714,2,0.4285714285714286,functions,57.14285714285714,frnkbs,frnkbs,0,0.571429
3662,vvargasd,vvargasd,2,3,1.0,2,0.0,functions,100.0,vvargasd,vvargasd,0,1.0
3873,Orloffyeah,Orloffyeah,2,3,0.3333333333333333,2,0.6666666666666667,functions,33.33333333333333,Orloffyeah,Orloffyeah,0,0.333333
5355,anythinglord,anythinglord,2,3,0.12,2,0.88,functions,12.0,anythinglord,anythinglord,0,0.12
5678,Jfcastroh,Jfcastroh,2,3,1.0,2,0.0,functions,100.0,Jfcastroh,Jfcastroh,0,1.0
6637,biherrerap,biherrerap,2,3,1.0,2,0.0,functions,100.0,biherrerap,biherrerap,0,1.0
8521,Ozai98,Ozai98,2,3,0.7857142857142857,2,0.2142857142857143,functions,78.57142857142857,Ozai98,Ozai98,0,0.785714
8632,dieguischa,dieguischa,2,3,0.0234375,2,0.9765625,functions,2.34375,dieguischa,dieguischa,0,0.023438
8699,Acreed21,Acreed21,2,3,1.0,2,0.0,functions,100.0,Acreed21,Acreed21,0,1.0
143,daapinzonch,daapinzonch,3,4,0.12,3,0.88,functions,12.0,daapinzonch,daapinzonch,0,0.12
526,criscapunal,criscapunal,3,4,0.8285714285714286,3,0.17142857142857137,functions,82.85714285714286,criscapunal,criscapunal,0,0.828571
911,JorgeTorresC,JorgeTorresC,3,4,1.0,3,0.0,functions,100.0,JorgeTorresC,JorgeTorresC,0,1.0
