,user1,user2,user1_phase,user2_phase,similarity,stage,exploration,comparison_type,ssim_exp,group,exp_scale
198,Juankmilo97,Juankmilo97,1,2,0.36363636363636365,1,0.6363636363636364,functions,36.36363636363637,1,0.363636
830,gahormigag,gahormigag,1,2,1.0,1,0.0,functions,100.0,1,1.0
1070,nikolasto,nikolasto,1,2,1.0,1,0.0,functions,100.0,1,1.0
1306,evilcucaracha,evilcucaracha,1,2,0.375,1,0.625,functions,37.5,1,0.375
1560,JamerMejiaGarcia,JamerMejiaGarcia,1,2,1.0,1,0.0,functions,100.0,1,1.0
2233,ayperezc,ayperezc,1,2,0.0,1,1.0,functions,0.0,1,0.0
2450,DavidsMartinez,DavidsMartinez,1,2,1.0,1,0.0,functions,100.0,1,1.0
2579,sarguellesr,sarguellesr,1,2,1.0,1,0.0,functions,100.0,1,1.0
2685,garayf,garayf,1,2,0.09821428571428571,1,0.9017857142857143,functions,9.821428571428571,1,0.098214
2795,jdsolanos,jdsolanos,1,2,1.0,1,0.0,functions,100.0,1,1.0
4800,sebcamacho1703,sebcamacho1703,1,2,0.5,1,0.5,functions,50.0,1,0.5
4885,JulianM96,JulianM96,1,2,0.4444444444444444,1,0.5555555555555556,functions,44.44444444444444,1,0.444444
5456,xFortich,xFortich,1,2,0.15789473684210525,1,0.8421052631578947,functions,15.789473684210526,1,0.157895
5608,davideperdomo,davideperdomo,1,2,0.3287671232876712,1,0.6712328767123288,functions,32.87671232876712,1,0.328767
259,facuellarg,facuellarg,2,3,0.17647058823529413,2,0.8235294117647058,functions,17.647058823529413,1,0.176471
514,DaniCastel,DaniCastel,2,3,0.6818181818181818,2,0.31818181818181823,functions,68.18181818181817,1,0.681818
3920,BrandonAvilanR,BrandonAvilanR,2,3,0.45108695652173914,2,0.5489130434782609,functions,45.108695652173914,1,0.451087
4653,cglaitong,cglaitong,2,3,0.5747126436781609,2,0.4252873563218391,functions,57.47126436781609,1,0.574713
5153,jaleonro,jaleonro,2,3,1.0,2,0.0,functions,100.0,1,1.0
5308,alebautis,alebautis,2,3,1.0,2,0.0,functions,100.0,1,1.0
6679,Juankmilo97,Juankmilo97,2,3,0.9696969696969697,2,0.030303030303030276,functions,96.96969696969697,1,0.969697
7222,DavidsMartinez,DavidsMartinez,2,3,1.0,2,0.0,functions,100.0,1,1.0
7313,ayperezc,ayperezc,2,3,1.0,2,0.0,functions,100.0,1,1.0
7652,JamerMejiaGarcia,JamerMejiaGarcia,2,3,1.0,2,0.0,functions,100.0,1,1.0
8290,sebcamacho1703,sebcamacho1703,2,3,0.14285714285714285,2,0.8571428571428572,functions,14.285714285714285,1,0.142857
8302,JulianM96,JulianM96,2,3,0.7391304347826086,2,0.26086956521739135,functions,73.91304347826086,1,0.73913
636,facuellarg,facuellarg,3,4,0.17647058823529413,3,0.8235294117647058,functions,17.647058823529413,1,0.176471
1126,DaniCastel,DaniCastel,3,4,0.23728813559322035,3,0.7627118644067796,functions,23.728813559322035,1,0.237288
2058,Gusgal03,Gusgal03,3,4,1.0,3,0.0,functions,100.0,1,1.0
3632,Caadiazsi,Caadiazsi,3,4,1.0,3,0.0,functions,100.0,1,1.0
4018,BrandonAvilanR,BrandonAvilanR,3,4,0.017142857142857144,3,0.9828571428571429,functions,1.7142857142857144,1,0.017143
5460,cglaitong,cglaitong,3,4,0.8969072164948454,3,0.1030927835051546,functions,89.69072164948454,1,0.896907
5686,alebautis,alebautis,3,4,1.0,3,0.0,functions,100.0,1,1.0
6176,nikolasto,nikolasto,3,4,0.125,3,0.875,functions,12.5,1,0.125
6434,gahormigag,gahormigag,3,4,1.0,3,0.0,functions,100.0,1,1.0
7008,Juankmilo97,Juankmilo97,3,4,1.0,3,0.0,functions,100.0,1,1.0
7441,sarguellesr,sarguellesr,3,4,1.0,3,0.0,functions,100.0,1,1.0
7721,ayperezc,ayperezc,3,4,0.45098039215686275,3,0.5490196078431373,functions,45.09803921568628,1,0.45098
7953,JamerMejiaGarcia,JamerMejiaGarcia,3,4,1.0,3,0.0,functions,100.0,1,1.0
8309,xFortich,xFortich,3,4,0.7625,3,0.23750000000000004,functions,76.25,1,0.7625
1614,alejosaur,alejosaur,4,5,1.0,4,0.0,functions,100.0,1,1.0
1728,jaasuarezvi,jaasuarezvi,4,5,1.0,4,0.0,functions,100.0,1,1.0
2284,Gusgal03,Gusgal03,4,5,1.0,4,0.0,functions,100.0,1,1.0
3542,Saariasba,Saariasba,4,5,1.0,4,0.0,functions,100.0,1,1.0
3733,Caadiazsi,Caadiazsi,4,5,1.0,4,0.0,functions,100.0,1,1.0
4913,Biopeligro,Biopeligro,4,5,1.0,4,0.0,functions,100.0,1,1.0
6118,evilcucaracha,evilcucaracha,4,5,0.06382978723404255,4,0.9361702127659575,functions,6.382978723404255,1,0.06383
6375,nikolasto,nikolasto,4,5,1.0,4,0.0,functions,100.0,1,1.0
6620,gahormigag,gahormigag,4,5,1.0,4,0.0,functions,100.0,1,1.0
7371,jdsolanos,jdsolanos,4,5,0.2857142857142857,4,0.7142857142857143,functions,28.57142857142857,1,0.285714
7538,garayf,garayf,4,5,0.7288135593220338,4,0.27118644067796616,functions,72.88135593220339,1,0.728814
7574,sarguellesr,sarguellesr,4,5,1.0,4,0.0,functions,100.0,1,1.0
8248,davideperdomo,davideperdomo,4,5,0.6872037914691943,4,0.3127962085308057,functions,68.72037914691943,1,0.687204
8343,xFortich,xFortich,4,5,1.0,4,0.0,functions,100.0,1,1.0
