,username1,username2,link1,link2,comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
12,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/FredyRosero/webapp_phase1/index.html,http://www.ironhacks.com/preview/FredyRosero/webapp_phase2/index.html,maps,4.0,22.0,1,FredyRosero,FredyRosero,96.0,0.96,2
26,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/LauraMolina/webapp_phase1/index.html,http://www.ironhacks.com/preview/LauraMolina/webapp_phase2/index.html,maps,27.2,100.0,1,LauraMolina,LauraMolina,72.8,0.728,2
39,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/RafaelCruz15/webapp_phase1/index.html,http://www.ironhacks.com/preview/RafaelCruz15/webapp_phase2/index.html,maps,21.2,31.3,1,RafaelCruz15,RafaelCruz15,78.8,0.788,2
54,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/davideperdomo/webapp_phase1/index.html,http://www.ironhacks.com/preview/davideperdomo/webapp_phase2/index.html,maps,26.6,100.0,1,davideperdomo,davideperdomo,73.4,0.734,2
68,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jannMorenoJ/webapp_phase1/index.html,http://www.ironhacks.com/preview/jannMorenoJ/webapp_phase2/index.html,maps,43.7,33.9,1,jannMorenoJ,jannMorenoJ,56.3,0.563,2
82,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/pahigueraf/webapp_phase1/index.html,http://www.ironhacks.com/preview/pahigueraf/webapp_phase2/index.html,maps,23.6,39.7,1,pahigueraf,pahigueraf,76.4,0.764,2
84,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Acreed21/webapp_phase1/index.html,http://www.ironhacks.com/preview/Acreed21/webapp_phase2/index.html,complete,28.7,100.0,1,Acreed21,Acreed21,71.3,0.713,2
111,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Camiioo/webapp_phase1/index.html,http://www.ironhacks.com/preview/Camiioo/webapp_phase2/index.html,complete,49.3,100.0,1,Camiioo,Camiioo,50.7,0.507,2
138,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/FredyRosero/webapp_phase1/index.html,http://www.ironhacks.com/preview/FredyRosero/webapp_phase2/index.html,complete,4.0,22.0,1,FredyRosero,FredyRosero,96.0,0.96,2
165,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JamerMejiaGarcia/webapp_phase1/index.html,http://www.ironhacks.com/preview/JamerMejiaGarcia/webapp_phase2/index.html,complete,39.3,100.0,1,JamerMejiaGarcia,JamerMejiaGarcia,60.7,0.607,2
