comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
maps,10.1,100,1,BrandonAvilanR,BrandonAvilanR,89.9,0.899,0
maps,6.5,39.9,1,DaniCastel,DaniCastel,93.5,0.935,0
maps,37.1,67.2,1,Orloffyeah,Orloffyeah,62.9,0.629,0
maps,68.1,87.8,1,alejosaur,alejosaur,31.9,0.319,0
maps,28.2,32.8,1,anythinglord,anythinglord,71.8,0.718,0
maps,39.6,68.3,1,cglaitong,cglaitong,60.4,0.604,0
maps,94,100,1,criscapunal,criscapunal,6,0.06,0
maps,8.9,31.9,1,csalfonsol,csalfonsol,91.1,0.911,0
complete,39.3,100,1,BrandonAvilanR,BrandonAvilanR,60.7,0.607,0
complete,12.2,84,1,DaniCastel,DaniCastel,87.8,0.878,0
complete,32.6,100,1,DaveValencia,DaveValencia,67.4,0.674,0
complete,72.7,100,1,Orloffyeah,Orloffyeah,27.3,0.273,0
complete,99.9,100,1,alejosaur,alejosaur,0.1,0.001,0
complete,49.4,100,1,anythinglord,anythinglord,50.6,0.506,0
complete,32.6,100,1,buendiagon,buendiagon,67.4,0.674,0
complete,94.3,100,1,cglaitong,cglaitong,5.7,0.057,0
complete,56.4,96.8,1,criscapunal,criscapunal,43.6,0.436,0
complete,12.4,32.5,1,csalfonsol,csalfonsol,87.6,0.876,0
complete,77.2,100,1,dieguischa,dieguischa,22.8,0.228,0
complete,32.6,100,1,jaasuarezvi,jaasuarezvi,67.4,0.674,0
complete,32.6,100,1,tres-xxx,tres-xxx,67.4,0.674,0
simple,84.7,100,1,BrandonAvilanR,BrandonAvilanR,15.3,0.153,0
simple,18.7,74.3,1,DaniCastel,DaniCastel,81.3,0.813,0
simple,32.6,100,1,DaveValencia,DaveValencia,67.4,0.674,0
simple,79.3,100,1,Orloffyeah,Orloffyeah,20.7,0.207,0
simple,99.9,100,1,alejosaur,alejosaur,0.1,0.001,0
simple,68.3,100,1,anythinglord,anythinglord,31.7,0.317,0
simple,32.6,100,1,buendiagon,buendiagon,67.4,0.674,0
