,Unnamed: 0,username1,username2,link1,link2,type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,group,Unnamed: 0.1,ssim_exp_scale,dist_search
11,182,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/AkaGar/webapp_phase2/index.html,complete,36.5,39.2,1,AkaGar,AkaGar,63.5,3,,,0.635
12,213,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/CampbellC2/webapp_phase1/index.html,http://www.ironhacks.com/preview/CampbellC2/webapp_phase2/index.html,complete,47.1,100.0,1,CampbellC2,CampbellC2,52.9,3,,,0.529
13,244,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/GeoffYart/webapp_phase2/index.html,complete,23.8,90.3,1,GeoffYart,GeoffYart,76.2,3,,,0.762
14,275,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Ilyumzhinov/webapp_phase1/index.html,http://www.ironhacks.com/preview/Ilyumzhinov/webapp_phase2/index.html,complete,50.0,100.0,1,Ilyumzhinov,Ilyumzhinov,50.0,3,,,0.5
15,306,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase1/index.html,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase2/index.html,complete,95.7,95.4,1,Jordan-Loeser,Jordan-Loeser,4.299999999999997,3,,,0.043
16,337,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/LukasMMarinovic/webapp_phase1/index.html,http://www.ironhacks.com/preview/LukasMMarinovic/webapp_phase2/index.html,complete,68.4,39.6,1,LukasMMarinovic,LukasMMarinovic,31.599999999999994,3,,,0.316
17,368,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/RCODI/webapp_phase1/index.html,http://www.ironhacks.com/preview/RCODI/webapp_phase2/index.html,complete,17.9,22.7,1,RCODI,RCODI,82.1,3,,,0.821
18,399,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/SionHu/webapp_phase2/index.html,complete,53.8,100.0,1,SionHu,SionHu,46.2,3,,,0.462
19,430,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/aclipfel/webapp_phase1/index.html,http://www.ironhacks.com/preview/aclipfel/webapp_phase2/index.html,complete,100.0,100.0,1,aclipfel,aclipfel,0.0,3,,,0.01
20,461,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase1/index.html,http://www.ironhacks.com/preview/bzin22/webapp_phase2/index.html,complete,9.2,76.5,1,bzin22,bzin22,90.8,3,,,0.908
21,492,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase1/index.html,http://www.ironhacks.com/preview/ecottle/webapp_phase2/index.html,complete,47.2,100.0,1,ecottle,ecottle,52.8,3,,,0.528
22,523,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase1/index.html,http://www.ironhacks.com/preview/gshowal/webapp_phase2/index.html,complete,20.4,89.0,1,gshowal,gshowal,79.6,3,,,0.796
23,554,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase1/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase2/index.html,complete,98.6,100.0,1,hihms,hihms,1.4000000000000057,3,,,0.014
24,585,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase1/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase2/index.html,complete,59.7,100.0,1,jmamaril25,jmamaril25,40.3,3,,,0.403
25,616,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmhunter4711/webapp_phase1/index.html,http://www.ironhacks.com/preview/jmhunter4711/webapp_phase2/index.html,complete,100.0,100.0,1,jmhunter4711,jmhunter4711,0.0,3,,,0.01
26,647,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase1/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase2/index.html,complete,99.8,100.0,1,ko68,ko68,0.2000000000000028,3,,,0.002
27,678,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurarotger/webapp_phase1/index.html,http://www.ironhacks.com/preview/laurarotger/webapp_phase2/index.html,complete,100.0,100.0,1,laurarotger,laurarotger,0.0,3,,,0.01
28,709,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase1/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase2/index.html,complete,71.7,95.3,1,laurenjank,laurenjank,28.3,3,,,0.283
29,740,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase1/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase2/index.html,complete,30.1,100.0,1,lennwgs,lennwgs,69.9,3,,,0.699
30,771,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/littlex2015/webapp_phase1/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase2/index.html,complete,42.2,47.1,1,littlex2015,littlex2015,57.8,3,,,0.578
31,802,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/matson3/webapp_phase1/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase2/index.html,complete,32.4,29.9,1,matson3,matson3,67.6,3,,,0.676
32,833,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/mdecloedt/webapp_phase1/index.html,http://www.ironhacks.com/preview/mdecloedt/webapp_phase2/index.html,complete,16.2,100.0,1,mdecloedt,mdecloedt,83.8,3,,,0.838
33,864,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nbraunec/webapp_phase1/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase2/index.html,complete,34.7,26.6,1,nbraunec,nbraunec,65.3,3,,,0.653
34,895,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/noah-curran/webapp_phase1/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase2/index.html,complete,72.2,100.0,1,noah-curran,noah-curran,27.8,3,,,0.278
35,926,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sanjitsama/webapp_phase1/index.html,http://www.ironhacks.com/preview/sanjitsama/webapp_phase2/index.html,complete,39.5,100.0,1,sanjitsama,sanjitsama,60.5,3,,,0.605
36,957,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/shivans/webapp_phase1/index.html,http://www.ironhacks.com/preview/shivans/webapp_phase2/index.html,complete,26.6,100.0,1,shivans,shivans,73.4,3,,,0.734
37,988,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/snugghash/webapp_phase1/index.html,http://www.ironhacks.com/preview/snugghash/webapp_phase2/index.html,complete,69.0,100.0,1,snugghash,snugghash,31.0,3,,,0.31
38,1019,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/viswapurdue/webapp_phase1/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase2/index.html,complete,36.0,100.0,1,viswapurdue,viswapurdue,64.0,3,,,0.64
39,1050,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/whipplem123/webapp_phase1/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase2/index.html,complete,98.9,100.0,1,whipplem123,whipplem123,1.0999999999999943,3,,,0.011
40,1081,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/zhao744/webapp_phase1/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase2/index.html,complete,51.1,86.5,1,zhao744,zhao744,48.9,3,,,0.489
81,2148,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase2/index.html,http://www.ironhacks.com/preview/AkaGar/webapp_phase3/index.html,complete,100.0,100.0,2,AkaGar,AkaGar,0.0,3,,,0.01
82,2179,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/CampbellC2/webapp_phase2/index.html,http://www.ironhacks.com/preview/CampbellC2/webapp_phase3/index.html,complete,26.2,88.1,2,CampbellC2,CampbellC2,73.8,3,,,0.738
83,2210,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase2/index.html,http://www.ironhacks.com/preview/GeoffYart/webapp_phase3/index.html,complete,27.6,100.0,2,GeoffYart,GeoffYart,72.4,3,,,0.724
84,2241,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Ilyumzhinov/webapp_phase2/index.html,http://www.ironhacks.com/preview/Ilyumzhinov/webapp_phase3/index.html,complete,100.0,100.0,2,Ilyumzhinov,Ilyumzhinov,0.0,3,,,0.01
85,2272,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase2/index.html,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase3/index.html,complete,52.9,100.0,2,Jordan-Loeser,Jordan-Loeser,47.1,3,,,0.471
86,2303,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/LukasMMarinovic/webapp_phase2/index.html,http://www.ironhacks.com/preview/LukasMMarinovic/webapp_phase3/index.html,complete,67.5,54.5,2,LukasMMarinovic,LukasMMarinovic,32.5,3,,,0.325
87,2334,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/RCODI/webapp_phase2/index.html,http://www.ironhacks.com/preview/RCODI/webapp_phase3/index.html,complete,31.6,100.0,2,RCODI,RCODI,68.4,3,,,0.684
88,2365,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase2/index.html,http://www.ironhacks.com/preview/SionHu/webapp_phase3/index.html,complete,100.0,100.0,2,SionHu,SionHu,0.0,3,,,0.01
89,2396,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/aclipfel/webapp_phase2/index.html,http://www.ironhacks.com/preview/aclipfel/webapp_phase3/index.html,complete,100.0,100.0,2,aclipfel,aclipfel,0.0,3,,,0.01
90,2427,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase2/index.html,http://www.ironhacks.com/preview/bzin22/webapp_phase3/index.html,complete,87.1,100.0,2,bzin22,bzin22,12.900000000000006,3,,,0.129
91,2458,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase2/index.html,http://www.ironhacks.com/preview/ecottle/webapp_phase3/index.html,complete,76.5,100.0,2,ecottle,ecottle,23.5,3,,,0.235
92,2489,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase2/index.html,http://www.ironhacks.com/preview/gshowal/webapp_phase3/index.html,complete,89.3,100.0,2,gshowal,gshowal,10.700000000000005,3,,,0.107
93,2520,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase2/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase3/index.html,complete,100.0,100.0,2,hihms,hihms,0.0,3,,,0.01
94,2551,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmamaril25/webapp_phase2/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase3/index.html,complete,90.3,100.0,2,jmamaril25,jmamaril25,9.700000000000005,3,,,0.097
95,2582,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jmhunter4711/webapp_phase2/index.html,http://www.ironhacks.com/preview/jmhunter4711/webapp_phase3/index.html,complete,100.0,100.0,2,jmhunter4711,jmhunter4711,0.0,3,,,0.01
96,2613,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ko68/webapp_phase2/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase3/index.html,complete,100.0,100.0,2,ko68,ko68,0.0,3,,,0.01
97,2644,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurarotger/webapp_phase2/index.html,http://www.ironhacks.com/preview/laurarotger/webapp_phase3/index.html,complete,100.0,100.0,2,laurarotger,laurarotger,0.0,3,,,0.01
98,2675,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/laurenjank/webapp_phase2/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase3/index.html,complete,33.9,98.5,2,laurenjank,laurenjank,66.1,3,,,0.661
99,2706,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/lennwgs/webapp_phase2/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase3/index.html,complete,100.0,100.0,2,lennwgs,lennwgs,0.0,3,,,0.01
100,2737,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/littlex2015/webapp_phase2/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase3/index.html,complete,99.9,100.0,2,littlex2015,littlex2015,0.0999999999999943,3,,,0.001
101,2768,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/matson3/webapp_phase2/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase3/index.html,complete,28.9,29.9,2,matson3,matson3,71.1,3,,,0.711
102,2799,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/mdecloedt/webapp_phase2/index.html,http://www.ironhacks.com/preview/mdecloedt/webapp_phase3/index.html,complete,26.1,93.5,2,mdecloedt,mdecloedt,73.9,3,,,0.739
103,2830,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nbraunec/webapp_phase2/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase3/index.html,complete,97.1,100.0,2,nbraunec,nbraunec,2.9000000000000057,3,,,0.029
104,2861,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/noah-curran/webapp_phase2/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase3/index.html,complete,99.7,100.0,2,noah-curran,noah-curran,0.2999999999999971,3,,,0.003
105,2892,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sanjitsama/webapp_phase2/index.html,http://www.ironhacks.com/preview/sanjitsama/webapp_phase3/index.html,complete,57.7,100.0,2,sanjitsama,sanjitsama,42.3,3,,,0.423
106,2923,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/shivans/webapp_phase2/index.html,http://www.ironhacks.com/preview/shivans/webapp_phase3/index.html,complete,100.0,100.0,2,shivans,shivans,0.0,3,,,0.01
107,2954,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/snugghash/webapp_phase2/index.html,http://www.ironhacks.com/preview/snugghash/webapp_phase3/index.html,complete,58.9,100.0,2,snugghash,snugghash,41.1,3,,,0.411
108,2985,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/viswapurdue/webapp_phase2/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase3/index.html,complete,36.5,100.0,2,viswapurdue,viswapurdue,63.5,3,,,0.635
109,3016,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/whipplem123/webapp_phase2/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase3/index.html,complete,95.3,100.0,2,whipplem123,whipplem123,4.700000000000003,3,,,0.047
110,3047,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/zhao744/webapp_phase2/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase3/index.html,complete,91.6,100.0,2,zhao744,zhao744,8.400000000000006,3,,,0.084
155,4219,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/CampbellC2/webapp_phase3/index.html,http://www.ironhacks.com/preview/CampbellC2/webapp_phase4/index.html,complete,22.7,100.0,3,CampbellC2,CampbellC2,77.3,3,,,0.773
156,4249,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase3/index.html,http://www.ironhacks.com/preview/GeoffYart/webapp_phase4/index.html,complete,48.1,100.0,3,GeoffYart,GeoffYart,51.9,3,,,0.519
157,4279,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Ilyumzhinov/webapp_phase3/index.html,http://www.ironhacks.com/preview/Ilyumzhinov/webapp_phase4/index.html,complete,100.0,100.0,3,Ilyumzhinov,Ilyumzhinov,0.0,3,,,0.01
158,4309,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase3/index.html,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase4/index.html,complete,98.8,93.7,3,Jordan-Loeser,Jordan-Loeser,1.2000000000000028,3,,,0.012
159,4339,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/LukasMMarinovic/webapp_phase3/index.html,http://www.ironhacks.com/preview/LukasMMarinovic/webapp_phase4/index.html,complete,100.0,100.0,3,LukasMMarinovic,LukasMMarinovic,0.0,3,,,0.01
160,4369,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/RCODI/webapp_phase3/index.html,http://www.ironhacks.com/preview/RCODI/webapp_phase4/index.html,complete,46.1,100.0,3,RCODI,RCODI,53.9,3,,,0.539
161,4399,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase3/index.html,http://www.ironhacks.com/preview/SionHu/webapp_phase4/index.html,complete,100.0,100.0,3,SionHu,SionHu,0.0,3,,,0.01
162,4429,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/aclipfel/webapp_phase3/index.html,http://www.ironhacks.com/preview/aclipfel/webapp_phase4/index.html,complete,100.0,100.0,3,aclipfel,aclipfel,0.0,3,,,0.01
