,link1_change,link2_change,ssim_exp,stage,comparison_type
0,Juankmilo97,Juankmilo97,36.36363636363637,1,functions
1,gahormigag,gahormigag,100.0,1,functions
2,nikolasto,nikolasto,100.0,1,functions
3,evilcucaracha,evilcucaracha,37.5,1,functions
4,JamerMejiaGarcia,JamerMejiaGarcia,100.0,1,functions
5,ayperezc,ayperezc,0.0,1,functions
6,DavidsMartinez,DavidsMartinez,100.0,1,functions
7,sarguellesr,sarguellesr,100.0,1,functions
8,garayf,garayf,9.821428571428571,1,functions
9,jdsolanos,jdsolanos,100.0,1,functions
10,sebcamacho1703,sebcamacho1703,50.0,1,functions
11,JulianM96,JulianM96,44.44444444444444,1,functions
12,xFortich,xFortich,15.789473684210526,1,functions
13,davideperdomo,davideperdomo,32.87671232876712,1,functions
14,facuellarg,facuellarg,17.647058823529413,2,functions
15,DaniCastel,DaniCastel,68.18181818181817,2,functions
16,BrandonAvilanR,BrandonAvilanR,45.108695652173914,2,functions
17,cglaitong,cglaitong,57.47126436781609,2,functions
18,jaleonro,jaleonro,100.0,2,functions
19,alebautis,alebautis,100.0,2,functions
20,Juankmilo97,Juankmilo97,96.96969696969697,2,functions
21,DavidsMartinez,DavidsMartinez,100.0,2,functions
22,ayperezc,ayperezc,100.0,2,functions
23,JamerMejiaGarcia,JamerMejiaGarcia,100.0,2,functions
24,sebcamacho1703,sebcamacho1703,14.285714285714285,2,functions
25,JulianM96,JulianM96,73.91304347826086,2,functions
26,facuellarg,facuellarg,17.647058823529413,3,functions
27,DaniCastel,DaniCastel,23.728813559322035,3,functions
28,Gusgal03,Gusgal03,100.0,3,functions
29,Caadiazsi,Caadiazsi,100.0,3,functions
30,BrandonAvilanR,BrandonAvilanR,1.7142857142857144,3,functions
31,cglaitong,cglaitong,89.69072164948454,3,functions
32,alebautis,alebautis,100.0,3,functions
33,nikolasto,nikolasto,12.5,3,functions
34,gahormigag,gahormigag,100.0,3,functions
35,Juankmilo97,Juankmilo97,100.0,3,functions
36,sarguellesr,sarguellesr,100.0,3,functions
37,ayperezc,ayperezc,45.09803921568628,3,functions
38,JamerMejiaGarcia,JamerMejiaGarcia,100.0,3,functions
39,xFortich,xFortich,76.25,3,functions
40,alejosaur,alejosaur,100.0,4,functions
41,jaasuarezvi,jaasuarezvi,100.0,4,functions
42,Gusgal03,Gusgal03,100.0,4,functions
43,Saariasba,Saariasba,100.0,4,functions
44,Caadiazsi,Caadiazsi,100.0,4,functions
45,Biopeligro,Biopeligro,100.0,4,functions
46,evilcucaracha,evilcucaracha,6.382978723404255,4,functions
47,nikolasto,nikolasto,100.0,4,functions
48,gahormigag,gahormigag,100.0,4,functions
49,jdsolanos,jdsolanos,28.57142857142857,4,functions
50,garayf,garayf,72.88135593220339,4,functions
51,sarguellesr,sarguellesr,100.0,4,functions
52,davideperdomo,davideperdomo,68.72037914691943,4,functions
53,xFortich,xFortich,100.0,4,functions
54,Caadiazsi,Caadiazsi,0.0,1,maps
55,Joacampora,Joacampora,62.6,1,maps
56,Juankmilo97,Juankmilo97,72.6,1,maps
57,casc3798,casc3798,82.7,1,maps
58,diefrodriguezcha,diefrodriguezcha,0.0,1,maps
59,federgolo,federgolo,0.0,1,maps
60,jaleonro,jaleonro,75.6,1,maps
61,jsalcinar,jsalcinar,73.8,1,maps
62,nviverosb,nviverosb,0.0,1,maps
63,olimita,olimita,72.6,1,maps
64,serbatero,serbatero,79.8,1,maps
65,yaochoal,yaochoal,0.0,1,maps
66,Alekzu,Alekzu,0.0,1,complete
67,Anvido,Anvido,26.599999999999994,1,complete
68,Biopeligro,Biopeligro,59.5,1,complete
69,Caadiazsi,Caadiazsi,0.0,1,complete
70,DavidsMartinez,DavidsMartinez,48.8,1,complete
71,DiegoAraque1207,DiegoAraque1207,67.6,1,complete
72,GabrielUnal,GabrielUnal,0.0,1,complete
73,Gavnic,Gavnic,64.0,1,complete
74,Gusgal03,Gusgal03,0.0,1,complete
75,Joacampora,Joacampora,18.299999999999997,1,complete
