,DaniCastel,BrandonAvilanR,Orloffyeah,alejosaur,anythinglord,cglaitong,criscapunal,csalfonsol,Daryhez,JorgeTorresC,JulianM96,Nigogu,Saariasba,anferoar96,daapinzonch,dcastanedar,evilcucaracha,jdsolanos,trickyjuggler,DaveValencia,buendiagon,dieguischa,jaasuarezvi,tres-xxx,DSFarfanF,SergioLopez40,StevenEsmar,aldiazve,uxjudges3
DaniCastel,0.0,45.5,17.6,18.3,14.7,15.3,18.9,18.2,21.0,19.5,18.3,17.7,18.9,18.5,19.7,18.6,18.7,19.4,21.1,18.9,18.9,15.0,18.9,18.9,19.0,19.1,18.9,18.9,18.9
BrandonAvilanR,45.5,0.0,43.6,35.3,43.8,18.8,45.4,48.6,48.3,45.7,45.4,45.0,45.4,45.3,46.6,45.3,45.3,47.5,48.9,45.4,45.4,43.6,45.4,45.4,45.4,45.5,45.4,45.4,45.4
Orloffyeah,17.6,43.6,0.0,72.3,75.2,41.0,88.5,81.9,81.2,86.8,87.4,83.1,88.6,88.1,88.7,88.7,88.1,82.8,78.2,57.7,88.6,66.4,88.6,88.6,89.0,89.1,88.6,88.6,88.6
alejosaur,18.3,35.3,72.3,0.0,54.3,34.3,62.2,60.4,58.6,61.0,60.5,57.4,62.2,62.1,63.5,62.1,61.8,59.2,59.1,28.3,62.2,54.5,62.2,62.2,62.3,62.3,62.2,62.2,62.2
anythinglord,14.7,43.8,75.2,54.3,0.0,55.7,84.7,78.8,75.2,82.2,82.3,77.1,84.8,84.3,85.8,84.9,84.0,78.0,74.7,56.0,84.8,65.7,84.8,84.8,85.2,85.3,84.8,84.8,84.8
cglaitong,15.3,18.8,41.0,34.3,55.7,0.0,31.6,34.5,31.3,30.8,31.1,27.8,31.6,31.6,32.6,31.6,31.6,31.4,31.6,5.5,5.5,27.2,31.6,31.6,31.6,31.6,31.6,31.6,31.6
criscapunal,18.9,45.4,88.5,62.2,84.7,31.6,0.0,17.9,31.3,38.9,38.9,38.9,21.7,17.4,35.8,38.9,37.6,32.7,31.9,38.6,38.6,19.9,29.2,29.2,36.0,38.9,29.2,29.2,29.2
csalfonsol,18.2,48.6,81.9,60.4,78.8,34.5,17.9,0.0,13.3,10.1,9.4,9.3,9.9,9.7,10.5,9.8,9.8,12.0,13.2,26.5,26.5,8.1,9.9,9.9,10.0,10.0,9.9,9.9,9.9
Daryhez,21.0,48.3,81.2,58.6,75.2,31.3,31.3,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4,46.4,75.4,46.4,46.4,0.0,0.0,0.0,0.0,0.0
JorgeTorresC,19.5,45.7,86.8,61.0,82.2,30.8,38.9,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,57.7,77.9,57.7,57.7,0.0,0.0,0.0,0.0,0.0
JulianM96,18.3,45.4,87.4,60.5,82.3,31.1,38.9,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,57.7,76.3,57.7,57.7,0.0,0.0,0.0,0.0,0.0
Nigogu,17.7,45.0,83.1,57.4,77.1,27.8,38.9,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,57.7,73.4,57.7,57.7,0.0,0.0,0.0,0.0,0.0
Saariasba,18.9,45.4,88.6,62.2,84.8,31.6,21.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,78.5,27.0,27.0,0.0,0.0,0.0,0.0,0.0
anferoar96,18.5,45.3,88.1,62.1,84.3,31.6,17.4,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1,40.1,78.1,40.1,40.1,0.0,0.0,0.0,0.0,0.0
daapinzonch,19.7,46.6,88.7,63.5,85.8,32.6,35.8,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8,56.8,79.0,56.8,56.8,0.0,0.0,0.0,0.0,0.0
dcastanedar,18.6,45.3,88.7,62.1,84.9,31.6,38.9,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,57.7,78.2,57.7,57.7,0.0,0.0,0.0,0.0,0.0
evilcucaracha,18.7,45.3,88.1,61.8,84.0,31.6,37.6,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,49.8,78.1,49.8,49.8,0.0,0.0,0.0,0.0,0.0
jdsolanos,19.4,47.5,82.8,59.2,78.0,31.4,32.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1,42.1,76.3,42.1,42.1,0.0,0.0,0.0,0.0,0.0
trickyjuggler,21.1,48.9,78.2,59.1,74.7,31.6,31.9,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,46.6,75.3,46.6,46.6,0.0,0.0,0.0,0.0,0.0
DaveValencia,18.9,45.4,57.7,28.3,56.0,5.5,38.6,26.5,46.4,57.7,57.7,57.7,27.0,40.1,56.8,57.7,49.8,42.1,46.6,0.0,32.6,35.4,32.6,32.6,57.4,57.7,32.6,32.6,32.6
buendiagon,18.9,45.4,88.6,62.2,84.8,5.5,38.6,26.5,46.4,57.7,57.7,57.7,27.0,40.1,56.8,57.7,49.8,42.1,46.6,32.6,0.0,35.4,32.6,32.6,57.4,57.7,32.6,32.6,32.6
dieguischa,15.0,43.6,66.4,54.5,65.7,27.2,19.9,8.1,75.4,77.9,76.3,73.4,78.5,78.1,79.0,78.2,78.1,76.3,75.3,35.4,35.4,0.0,78.6,78.6,78.6,78.7,78.6,78.6,78.6
jaasuarezvi,18.9,45.4,88.6,62.2,84.8,31.6,29.2,9.9,46.4,57.7,57.7,57.7,27.0,40.1,56.8,57.7,49.8,42.1,46.6,32.6,32.6,78.6,0.0,32.6,57.4,57.7,32.6,32.6,32.6
tres-xxx,18.9,45.4,88.6,62.2,84.8,31.6,29.2,9.9,46.4,57.7,57.7,57.7,27.0,40.1,56.8,57.7,49.8,42.1,46.6,32.6,32.6,78.6,32.6,0.0,57.4,57.7,32.6,32.6,32.6
DSFarfanF,19.0,45.4,89.0,62.3,85.2,31.6,36.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,57.4,78.6,57.4,57.4,0.0,0.0,0.0,0.0,0.0
SergioLopez40,19.1,45.5,89.1,62.3,85.3,31.6,38.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,57.7,78.7,57.7,57.7,0.0,0.0,0.0,0.0,0.0
StevenEsmar,18.9,45.4,88.6,62.2,84.8,31.6,29.2,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,32.6,78.6,32.6,32.6,0.0,0.0,0.0,0.0,0.0
aldiazve,18.9,45.4,88.6,62.2,84.8,31.6,29.2,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,32.6,78.6,32.6,32.6,0.0,0.0,0.0,0.0,0.0
