,Joacampora,Caadiazsi,Juankmilo97,Jufcardenasmo,casc3798,diefrodriguezcha,federgolo,jaleonro,jsalcinar,nviverosb,olimita,serbatero,xFortich,yaochoal,garayf,sebcamacho1703,Anvido,Alekzu,Biopeligro,DavidsMartinez,DiegoAraque1207,GabrielUnal,Gavnic,Gusgal03,Ozai98,Sariilan,bsdiaza,facuellarg,jssanchezo
Joacampora,0.0,41.3,39.4,14.4,76.0,35.0,53.4,28.3,21.0,56.4,68.5,52.3,81.9,61.0,31.1,25.5,32.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,66.8,51.2,51.2,51.1,51.2
Caadiazsi,41.3,0.0,39.3,31.6,96.3,43.1,68.0,46.9,56.2,73.8,88.8,74.5,88.0,93.1,37.4,30.7,66.7,45.0,45.0,75.6,87.3,45.0,71.9,45.0,59.7,45.0,45.0,43.9,45.0
Juankmilo97,39.4,39.3,0.0,18.4,81.6,35.5,65.1,44.7,28.4,10.8,79.0,66.0,80.0,79.4,40.9,20.7,26.8,48.2,48.2,48.2,48.2,48.2,48.2,48.2,68.8,41.7,41.7,31.8,41.7
Jufcardenasmo,14.4,31.6,18.4,0.0,52.5,10.0,55.9,19.1,45.4,16.4,49.4,22.5,60.5,50.3,21.3,11.3,31.8,10.2,10.2,10.2,10.2,10.2,10.2,10.2,29.8,35.0,35.0,15.3,35.0
casc3798,76.0,96.3,81.6,52.5,0.0,22.0,41.2,5.4,9.7,75.2,46.8,35.9,14.7,12.5,5.0,32.6,69.5,53.7,53.7,53.7,53.7,53.7,53.7,53.7,60.7,53.7,53.7,50.2,53.7
diefrodriguezcha,35.0,43.1,35.5,10.0,22.0,0.0,47.8,38.0,34.4,17.5,33.0,58.4,63.6,57.7,38.6,11.8,42.7,10.2,10.2,10.2,10.2,10.2,10.2,10.2,36.7,10.2,10.2,5.3,18.0
federgolo,53.4,68.0,65.1,55.9,41.2,47.8,0.0,9.7,10.4,77.4,69.9,56.1,20.2,18.8,8.9,33.0,65.2,54.5,54.5,54.5,54.5,54.5,54.5,54.5,57.7,54.5,54.5,54.5,54.5
jaleonro,28.3,46.9,44.7,19.1,5.4,38.0,9.7,0.0,24.1,28.5,43.7,64.4,31.3,56.1,53.7,11.4,32.4,17.8,17.8,17.8,17.8,17.8,17.8,17.8,31.9,17.8,17.8,17.8,17.8
jsalcinar,21.0,56.2,28.4,45.4,9.7,34.4,10.4,24.1,0.0,54.1,32.5,25.5,54.9,46.4,20.1,24.6,34.6,39.7,39.7,39.7,39.7,39.7,39.7,39.7,37.1,39.7,39.7,39.7,39.7
nviverosb,56.4,73.8,10.8,16.4,75.2,17.5,77.4,28.5,54.1,0.0,60.5,41.1,88.1,72.6,44.8,20.8,46.4,57.1,75.5,82.9,64.3,57.1,55.2,57.1,66.6,57.1,57.1,54.1,57.1
olimita,68.5,88.8,79.0,49.4,46.8,33.0,69.9,43.7,32.5,60.5,0.0,69.0,28.3,24.2,38.1,33.1,84.1,44.2,44.2,44.2,44.2,44.2,44.2,44.2,74.0,44.2,44.2,44.2,44.2
serbatero,52.3,74.5,66.0,22.5,35.9,58.4,56.1,64.4,25.5,41.1,69.0,0.0,14.9,16.2,57.2,20.1,66.8,20.1,20.1,20.1,20.1,20.1,20.1,20.1,61.3,20.1,20.1,20.1,20.1
xFortich,81.9,88.0,80.0,60.5,14.7,63.6,20.2,31.3,54.9,88.1,28.3,14.9,0.0,79.2,27.0,56.5,72.6,56.5,56.5,56.5,56.5,56.5,56.5,56.5,59.6,56.5,56.5,56.5,56.5
yaochoal,61.0,93.1,79.4,50.3,12.5,57.7,18.8,56.1,46.4,72.6,24.2,16.2,79.2,0.0,41.5,45.4,61.0,45.4,45.4,45.4,45.4,45.4,45.4,45.4,55.6,45.4,45.4,45.4,45.4
garayf,31.1,37.4,40.9,21.3,5.0,38.6,8.9,53.7,20.1,44.8,38.1,57.2,27.0,41.5,0.0,15.2,27.4,23.8,23.8,23.8,23.8,23.8,23.8,23.8,22.2,23.8,23.8,23.8,25.1
sebcamacho1703,25.5,30.7,20.7,11.3,32.6,11.8,33.0,11.4,24.6,20.8,33.1,20.1,56.5,45.4,15.2,0.0,14.2,10.7,10.7,10.7,10.7,10.7,10.7,10.7,16.2,10.7,10.7,10.7,10.7
Anvido,32.5,66.7,26.8,31.8,69.5,42.7,65.2,32.4,34.6,46.4,84.1,66.8,72.6,61.0,27.4,14.2,0.0,25.3,69.8,81.3,85.0,21.3,83.1,21.3,41.2,21.3,21.3,21.8,21.3
Alekzu,30.5,45.0,48.2,10.2,53.7,10.2,54.5,17.8,39.7,57.1,44.2,20.1,56.5,45.4,23.8,10.7,25.3,0.0,40.5,51.2,32.4,100.0,36.0,100.0,7.2,100.0,100.0,27.5,100.0
Biopeligro,30.5,45.0,48.2,10.2,53.7,10.2,54.5,17.8,39.7,75.5,44.2,20.1,56.5,45.4,23.8,10.7,69.8,40.5,0.0,51.2,32.4,100.0,36.0,100.0,7.2,100.0,100.0,27.5,100.0
DavidsMartinez,30.5,75.6,48.2,10.2,53.7,10.2,54.5,17.8,39.7,82.9,44.2,20.1,56.5,45.4,23.8,10.7,81.3,51.2,51.2,0.0,32.4,100.0,36.0,100.0,7.2,100.0,100.0,27.5,100.0
DiegoAraque1207,30.5,87.3,48.2,10.2,53.7,10.2,54.5,17.8,39.7,64.3,44.2,20.1,56.5,45.4,23.8,10.7,85.0,32.4,32.4,32.4,0.0,100.0,36.0,100.0,7.2,100.0,100.0,27.5,100.0
GabrielUnal,30.5,45.0,48.2,10.2,53.7,10.2,54.5,17.8,39.7,57.1,44.2,20.1,56.5,45.4,23.8,10.7,21.3,100.0,100.0,100.0,100.0,0.0,36.0,100.0,7.2,100.0,100.0,27.5,100.0
Gavnic,30.5,71.9,48.2,10.2,53.7,10.2,54.5,17.8,39.7,55.2,44.2,20.1,56.5,45.4,23.8,10.7,83.1,36.0,36.0,36.0,36.0,36.0,0.0,100.0,7.2,100.0,100.0,27.5,100.0
