,DaniCastel,BrandonAvilanR,Daryhez,JorgeTorresC,JulianM96,Orloffyeah,Saariasba,StevenEsmar,alejosaur,anferoar96,anythinglord,cglaitong,criscapunal,csalfonsol,daapinzonch,evilcucaracha,jdsolanos,trickyjuggler,DSFarfanF,DaveValencia,Nigogu,SergioLopez40,aldiazve,buendiagon,dcastanedar,dieguischa,jaasuarezvi,tres-xxx,uxjudges3
DaniCastel,0.0,25.0,66.2,70.1,57.7,70.0,41.8,66.4,51.1,56.4,60.1,26.4,37.6,31.6,78.1,28.2,61.9,68.4,59.8,45.8,62.9,59.4,59.8,45.8,59.8,74.6,45.8,45.8,59.8
BrandonAvilanR,25.0,0.0,48.8,55.6,46.0,32.9,44.7,53.5,32.9,47.1,20.0,15.7,11.0,21.6,55.4,25.2,47.3,48.2,45.9,12.2,31.5,45.8,45.9,12.2,45.9,50.4,12.2,12.2,45.9
Daryhez,66.2,48.8,0.0,0.0,0.0,80.9,0.0,0.0,58.6,0.0,75.0,31.2,31.3,36.6,0.0,0.0,0.0,0.0,0.0,46.4,0.0,0.0,0.0,46.4,0.0,81.3,46.4,46.4,0.0
JorgeTorresC,70.1,55.6,0.0,0.0,0.0,62.3,0.0,0.0,57.3,0.0,71.2,30.9,35.0,34.6,0.0,0.0,0.0,0.0,0.0,51.4,0.0,0.0,0.0,51.4,0.0,62.3,51.4,51.4,0.0
JulianM96,57.7,46.0,0.0,0.0,0.0,87.3,0.0,0.0,59.8,0.0,81.2,30.8,38.9,26.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,0.0,57.7,0.0,81.6,57.7,57.7,0.0
Orloffyeah,70.0,32.9,80.9,62.3,87.3,0.0,75.1,63.8,59.0,83.2,79.4,29.9,38.9,26.3,60.5,16.7,84.4,79.5,88.6,88.6,68.3,88.3,88.6,57.7,88.6,80.9,57.7,57.7,88.6
Saariasba,41.8,44.7,0.0,0.0,0.0,75.1,0.0,0.0,53.0,0.0,64.8,26.9,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0.0,0.0,0.0
StevenEsmar,66.4,53.5,0.0,0.0,0.0,63.8,0.0,0.0,47.9,0.0,55.2,22.4,17.8,35.5,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0,0.0,30.8,0.0,70.7,30.8,30.8,0.0
alejosaur,51.1,32.9,58.6,57.3,59.8,59.0,53.0,47.9,0.0,60.8,77.6,34.3,13.7,29.1,59.8,23.7,59.6,57.8,62.2,62.2,56.3,62.0,62.2,28.3,62.2,56.3,28.3,28.3,62.2
anferoar96,56.4,47.1,0.0,0.0,0.0,83.2,0.0,0.0,60.8,0.0,77.0,30.9,13.2,29.2,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,21.2,0.0,82.1,21.2,21.2,0.0
anythinglord,60.1,20.0,75.0,71.2,81.2,79.4,64.8,55.2,77.6,77.0,0.0,8.0,2.6,9.7,66.9,19.5,79.4,74.2,84.8,84.8,79.1,84.7,84.8,4.6,84.8,11.1,4.6,4.6,84.8
cglaitong,26.4,15.7,31.2,30.9,30.8,29.9,26.9,22.4,34.3,30.9,8.0,0.0,3.7,24.3,34.3,14.1,31.4,30.7,31.6,31.6,33.2,31.6,31.6,31.6,31.6,35.3,5.5,5.5,31.6
criscapunal,37.6,11.0,31.3,35.0,38.9,38.9,0.0,17.8,13.7,13.2,2.6,3.7,0.0,27.9,23.6,28.6,28.7,33.8,29.2,29.2,31.6,35.4,29.2,29.2,29.2,84.9,57.7,57.7,29.2
csalfonsol,31.6,21.6,36.6,34.6,26.0,26.3,19.4,35.5,29.1,29.2,9.7,24.3,27.9,0.0,42.9,17.1,30.5,33.3,27.6,27.6,33.3,27.5,27.6,27.6,27.6,62.9,27.1,27.1,27.6
daapinzonch,78.1,55.4,0.0,0.0,0.0,60.5,0.0,0.0,59.8,0.0,66.9,34.3,23.6,42.9,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,62.4,39.0,39.0,0.0
evilcucaracha,28.2,25.2,0.0,0.0,0.0,16.7,0.0,0.0,23.7,0.0,19.5,14.1,28.6,17.1,0.0,0.0,0.0,0.0,0.0,37.1,0.0,0.0,0.0,37.1,0.0,19.5,37.1,37.1,0.0
jdsolanos,61.9,47.3,0.0,0.0,0.0,84.4,0.0,0.0,59.6,0.0,79.4,31.4,28.7,30.5,0.0,0.0,0.0,0.0,0.0,41.1,0.0,0.0,0.0,41.1,0.0,82.8,41.1,41.1,0.0
trickyjuggler,68.4,48.2,0.0,0.0,0.0,79.5,0.0,0.0,57.8,0.0,74.2,30.7,33.8,33.3,0.0,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,49.4,0.0,80.4,49.4,49.4,0.0
