,BrandonAvilanR,DaniCastel,JorgeTorresC,Orloffyeah,SergioLopez40,alejosaur,anythinglord,cglaitong,criscapunal,csalfonsol,daapinzonch,dcastanedar,jdsolanos,Daryhez,JulianM96,Saariasba,StevenEsmar,anferoar96,evilcucaracha,trickyjuggler,DSFarfanF,DaveValencia,buendiagon,dieguischa,jaasuarezvi,tres-xxx,Nigogu,aldiazve,uxjudges3
BrandonAvilanR,0.0,49.9,44.0,44.2,45.6,28.7,6.9,23.6,45.5,48.4,48.1,45.6,47.0,48.5,45.8,44.5,53.2,46.9,17.2,47.3,45.6,45.6,45.6,41.6,45.6,45.6,21.3,45.6,45.6
DaniCastel,49.9,0.0,22.2,17.8,18.8,18.3,3.9,15.9,19.1,11.0,24.7,18.9,19.6,20.9,18.2,13.2,21.0,17.8,9.0,21.6,45.8,18.9,18.9,15.0,18.9,18.9,22.2,18.9,18.9
JorgeTorresC,44.0,22.2,0.0,55.8,58.3,55.9,12.5,38.4,58.5,45.3,83.5,58.4,57.8,59.6,56.9,50.4,57.8,56.4,33.8,60.6,51.4,51.4,58.4,52.9,58.4,58.4,53.4,58.4,58.4
Orloffyeah,44.2,17.8,55.8,0.0,90.5,55.0,10.1,35.7,91.0,66.1,61.9,90.7,87.9,85.8,89.9,82.3,75.4,87.1,17.7,85.0,57.7,57.7,90.7,73.9,90.7,90.7,46.4,90.7,90.7
SergioLopez40,45.6,18.8,58.3,90.5,0.0,62.2,6.9,38.1,64.9,19.6,44.1,64.9,53.3,51.6,57.7,52.3,48.4,58.3,14.3,52.3,52.3,52.3,64.9,44.2,64.9,64.9,53.4,64.9,64.9
alejosaur,28.7,18.3,55.9,55.0,62.2,0.0,11.3,40.3,62.3,39.9,59.8,62.2,59.6,58.6,59.8,28.3,47.9,60.8,23.7,57.8,28.3,28.3,62.2,54.6,62.2,62.2,56.3,62.2,62.2
anythinglord,6.9,3.9,12.5,10.1,6.9,11.3,0.0,12.7,20.8,14.4,22.2,20.8,20.7,21.3,20.3,4.6,20.1,20.0,9.1,20.8,4.6,4.6,20.8,16.2,20.8,20.8,16.8,20.8,20.8
cglaitong,23.6,15.9,38.4,35.7,38.1,40.3,12.7,0.0,38.3,25.5,42.7,38.3,38.1,38.2,37.8,5.5,30.4,37.8,15.4,38.0,5.5,5.5,5.5,33.0,38.3,38.3,37.5,38.3,38.3
criscapunal,45.5,19.1,58.5,91.0,64.9,62.3,20.8,38.3,0.0,3.8,-0.8,3.7,3.7,3.7,3.7,57.7,3.5,2.3,3.3,3.8,57.7,57.7,57.7,3.7,3.7,3.7,3.6,3.7,3.7
csalfonsol,48.4,11.0,45.3,66.1,19.6,39.9,14.4,25.5,3.8,0.0,15.6,9.7,10.8,13.1,9.6,27.1,12.9,10.2,6.4,12.2,27.1,27.1,27.1,8.2,9.7,9.7,14.1,9.7,9.7
daapinzonch,48.1,24.7,83.5,61.9,44.1,59.8,22.2,42.7,-0.8,15.6,0.0,82.5,83.4,71.1,88.1,39.0,60.0,75.3,16.5,64.8,39.0,39.0,39.0,40.4,82.5,82.5,76.5,82.5,82.5
dcastanedar,45.6,18.9,58.4,90.7,64.9,62.2,20.8,38.3,3.7,9.7,82.5,0.0,6.9,5.7,6.3,32.6,5.6,3.2,5.9,6.1,32.6,32.6,32.6,6.9,6.9,6.9,5.9,6.9,6.9
jdsolanos,47.0,19.6,57.8,87.9,53.3,59.6,20.7,38.1,3.7,10.8,83.4,6.9,0.0,85.9,73.9,41.1,87.1,69.6,31.7,82.2,41.1,41.1,41.1,41.1,41.1,81.4,79.8,81.4,81.4
