,BrandonAvilanR,DaniCastel,JorgeTorresC,JulianM96,Orloffyeah,SergioLopez40,StevenEsmar,alejosaur,anferoar96,anythinglord,cglaitong,csalfonsol,daapinzonch,evilcucaracha,jdsolanos,trickyjuggler,criscapunal,dcastanedar,DSFarfanF,Daryhez,DaveValencia,Nigogu,Saariasba,aldiazve,buendiagon,dieguischa,jaasuarezvi,tres-xxx,uxjudges3
BrandonAvilanR,66.3,28.8,55.6,17.9,27.8,14.3,14.3,34.1,5.7,10.8,27.7,22.6,7.9,17.2,26.6,25.4,1.4,2.0,10.7,32.7,10.7,21.3,10.7,10.7,10.7,10.7,10.7,10.7,10.7
DaniCastel,28.8,88.2,20.4,58.7,15.4,37.2,18.4,16.3,37.7,8.5,12.9,31.2,57.8,28.3,62.3,45.4,4.1,6.1,42.8,31.4,43.2,62.9,43.2,42.8,43.2,43.2,43.2,43.2,42.8
JorgeTorresC,55.6,20.4,93.4,74.4,55.1,56.7,21.2,55.8,15.3,21.7,37.7,34.6,50.9,33.8,86.7,71.0,3.4,5.3,44.7,35.2,44.7,53.4,44.7,44.7,44.7,44.7,44.7,44.7,44.7
JulianM96,17.9,58.7,74.4,0.0,20.6,53.9,0.0,79.5,0.0,47.5,49.1,29.1,81.4,0.0,60.9,73.3,1.5,7.5,45.8,0.0,45.8,0.0,45.8,0.0,45.8,45.8,45.8,45.8,0.0
Orloffyeah,27.8,15.4,55.1,20.6,91.6,13.9,25.0,54.7,17.0,20.4,36.1,8.6,85.5,17.8,14.4,33.6,3.7,7.4,57.7,46.6,57.7,46.4,57.7,57.7,57.7,57.7,57.7,57.7,57.7
SergioLopez40,14.3,37.2,56.7,53.9,13.9,100.0,14.5,62.2,43.9,41.8,36.2,19.6,15.2,14.3,56.7,52.3,0.0,0.0,0.0,27.9,0.0,53.4,65.2,0.0,0.0,0.0,0.0,0.0,0.0
StevenEsmar,14.3,18.4,21.2,0.0,25.0,14.5,0.0,17.9,0.0,8.0,11.9,10.9,11.7,0.0,24.4,24.6,2.8,1.6,8.5,0.0,8.5,0.0,8.5,0.0,8.5,8.5,8.5,8.5,0.0
alejosaur,34.1,16.3,55.8,79.5,54.7,62.2,17.9,100.0,18.2,18.2,40.0,28.9,81.1,23.7,73.3,75.9,1.8,2.5,28.3,33.3,28.3,56.3,23.0,28.3,28.3,28.3,28.3,28.3,28.3
anferoar96,5.7,37.7,15.3,0.0,17.0,43.9,0.0,18.2,0.0,8.8,14.2,20.1,56.4,0.0,52.6,36.7,3.4,5.9,14.6,0.0,14.6,0.0,14.6,0.0,14.6,14.6,14.6,14.6,0.0
anythinglord,10.8,8.5,21.7,47.5,20.4,41.8,8.0,18.2,8.8,81.0,12.3,16.4,8.6,9.1,56.4,29.6,0.7,-0.1,4.6,12.4,4.6,16.8,9.4,4.6,4.6,4.6,4.6,4.6,4.6
cglaitong,27.7,12.9,37.7,49.1,36.1,36.2,11.9,40.0,14.2,12.3,100.0,24.3,56.5,15.4,44.9,52.7,0.5,0.7,5.5,21.5,5.5,37.5,17.9,5.5,5.5,5.5,5.5,5.5,5.5
csalfonsol,22.6,31.2,34.6,29.1,8.6,19.6,10.9,28.9,20.1,16.4,24.3,78.7,30.7,17.6,39.7,32.9,28.0,2.8,27.1,23.3,27.1,33.2,18.1,27.1,27.1,27.3,27.3,27.3,27.1
daapinzonch,7.9,57.8,50.9,81.4,85.5,15.2,11.7,81.1,56.4,8.6,56.5,30.7,86.8,16.5,59.6,78.2,48.4,6.2,5.6,40.0,5.6,76.5,59.9,5.6,5.6,57.6,57.6,57.6,5.6
evilcucaracha,17.2,28.3,33.8,0.0,17.8,14.3,0.0,23.7,0.0,9.1,15.4,17.6,16.5,0.0,31.9,25.0,3.3,5.9,37.1,0.0,37.1,0.0,37.1,0.0,37.1,37.1,37.1,37.1,0.0
jdsolanos,26.6,62.3,86.7,60.9,14.4,56.7,24.4,73.3,52.6,56.4,44.9,39.7,59.6,31.9,96.7,82.7,61.9,24.2,34.4,50.4,34.4,79.8,49.6,34.4,34.4,34.4,34.4,33.8,34.4
trickyjuggler,25.4,45.4,71.0,73.3,33.6,52.3,24.6,75.9,36.7,29.6,52.7,32.9,78.2,25.0,82.7,79.6,53.2,41.2,49.4,45.9,49.4,83.5,44.3,49.4,49.4,49.4,49.4,49.4,49.4
criscapunal,1.4,4.1,3.4,1.5,3.7,0.0,2.8,1.8,3.4,0.7,0.5,28.0,48.4,3.3,61.9,53.2,3.6,6.0,6.5,1.4,6.5,3.6,0.0,6.5,6.5,49.6,49.6,49.6,6.5
dcastanedar,2.0,6.1,5.3,7.5,7.4,0.0,1.6,2.5,5.9,-0.1,0.7,2.8,6.2,5.9,24.2,41.2,6.0,6.5,0.0,1.4,0.0,5.9,0.0,0.0,0.0,37.9,37.9,37.9,0.0
DSFarfanF,10.7,42.8,44.7,45.8,57.7,0.0,8.5,28.3,14.6,4.6,5.5,27.1,5.6,37.1,34.4,49.4,6.5,0.0,100.0,15.1,100.0,47.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Daryhez,32.7,31.4,35.2,0.0,46.6,27.9,0.0,33.3,0.0,12.4,21.5,23.3,40.0,0.0,50.4,45.9,1.4,1.4,15.1,0.0,15.1,0.0,15.1,0.0,15.1,15.1,15.1,15.1,0.0
DaveValencia,10.7,43.2,44.7,45.8,57.7,0.0,8.5,28.3,14.6,4.6,5.5,27.1,5.6,37.1,34.4,49.4,6.5,0.0,100.0,15.1,100.0,47.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nigogu,21.3,62.9,53.4,0.0,46.4,53.4,0.0,56.3,0.0,16.8,37.5,33.2,76.5,0.0,79.8,83.5,3.6,5.9,47.4,0.0,47.4,0.0,47.4,0.0,47.4,47.4,47.4,47.4,0.0
Saariasba,10.7,43.2,44.7,45.8,57.7,65.2,8.5,23.0,14.6,9.4,17.9,18.1,59.9,37.1,49.6,44.3,0.0,0.0,100.0,15.1,100.0,47.4,0.0,100.0,0.0,0.0,0.0,0.0,100.0
aldiazve,10.7,42.8,44.7,0.0,57.7,0.0,0.0,28.3,0.0,4.6,5.5,27.1,5.6,0.0,34.4,49.4,6.5,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
buendiagon,10.7,43.2,44.7,45.8,57.7,0.0,8.5,28.3,14.6,4.6,5.5,27.1,5.6,37.1,34.4,49.4,6.5,0.0,100.0,15.1,100.0,47.4,0.0,100.0,100.0,100.0,100.0,100.0,100.0
dieguischa,10.7,43.2,44.7,45.8,57.7,0.0,8.5,28.3,14.6,4.6,5.5,27.3,57.6,37.1,34.4,49.4,49.6,37.9,100.0,15.1,100.0,47.4,0.0,100.0,100.0,100.0,100.0,100.0,100.0
jaasuarezvi,10.7,43.2,44.7,45.8,57.7,0.0,8.5,28.3,14.6,4.6,5.5,27.3,57.6,37.1,34.4,49.4,49.6,37.9,100.0,15.1,100.0,47.4,0.0,100.0,100.0,100.0,100.0,100.0,100.0
tres-xxx,10.7,43.2,44.7,45.8,57.7,0.0,8.5,28.3,14.6,4.6,5.5,27.3,57.6,37.1,33.8,49.4,49.6,37.9,100.0,15.1,100.0,47.4,0.0,100.0,100.0,100.0,100.0,100.0,100.0
uxjudges3,10.7,42.8,44.7,0.0,57.7,0.0,0.0,28.3,0.0,4.6,5.5,27.1,5.6,0.0,34.4,49.4,6.5,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
