,Alekzu,Biopeligro,DiegoAraque1207,GabrielUnal,Gavnic,Joacampora,Juankmilo97,Jufcardenasmo,bsdiaza,casc3798,federgolo,jaleonro,jsalcinar,nviverosb,olimita,sebcamacho1703,serbatero,yaochoal,diefrodriguezcha,Anvido,Caadiazsi,DavidsMartinez,Gusgal03,Ozai98,Sariilan,facuellarg,garayf,jssanchezo,xFortich
Alekzu,95.2,8.8,4.8,81.9,2.9,5.3,6.5,21.9,3.7,7.1,3.3,2.7,4.5,3.8,6.8,8.6,1.8,6.1,26.3,5.0,53.5,53.5,35.1,11.9,53.5,53.5,2.3,53.5,8.6
Biopeligro,8.8,48.7,41.4,42.0,38.4,25.3,52.4,35.3,37.4,57.4,45.4,22.1,29.1,21.1,53.7,61.3,19.9,52.6,33.3,13.7,34.5,34.5,30.1,8.6,34.5,34.5,21.7,34.5,61.1
DiegoAraque1207,4.8,41.4,98.2,55.3,48.9,46.6,26.4,26.7,41.7,60.6,38.1,85.6,20.4,57.3,66.5,37.5,59.1,58.1,56.0,37.8,28.2,28.2,22.3,18.4,28.2,28.2,41.3,28.2,38.5
GabrielUnal,81.9,42.0,55.3,90.1,9.6,3.9,5.8,47.3,5.0,20.8,9.4,2.7,61.5,34.2,19.8,6.5,10.7,5.8,15.4,34.2,38.8,38.8,18.5,60.7,27.7,27.7,2.1,27.7,6.9
Gavnic,2.9,38.4,48.9,9.6,33.2,25.5,27.3,58.1,42.1,37.1,21.9,23.0,40.4,47.9,44.8,51.0,23.3,44.8,13.7,17.5,28.5,28.5,42.9,33.7,51.6,51.6,23.4,51.6,52.4
Joacampora,5.3,25.3,46.6,3.9,25.5,95.8,19.0,33.4,31.1,41.9,24.7,45.1,14.1,50.6,45.1,29.0,41.6,42.6,38.5,21.3,27.7,27.7,23.7,12.7,27.7,27.7,29.4,27.7,29.9
Juankmilo97,6.5,52.4,26.4,5.8,27.3,19.0,94.5,49.5,22.6,55.2,23.4,20.8,20.3,72.9,58.8,34.5,45.1,37.0,50.6,10.4,53.7,53.7,45.2,13.5,53.7,53.7,14.3,53.7,34.8
Jufcardenasmo,21.9,35.3,26.7,47.3,58.1,33.4,49.5,10.2,11.6,19.7,16.6,21.4,45.4,19.1,22.2,8.3,34.5,12.8,31.7,22.4,35.0,35.0,33.9,57.6,10.2,10.2,20.0,10.2,8.5
bsdiaza,3.7,37.4,41.7,5.0,42.1,31.1,22.6,11.6,95.7,62.9,46.6,36.1,21.8,56.3,74.6,45.8,58.1,56.3,52.8,17.4,32.2,32.2,26.2,24.0,32.2,30.8,31.5,30.8,47.3
casc3798,7.1,57.4,60.6,20.8,37.1,41.9,55.2,19.7,62.9,71.1,17.2,8.9,27.4,59.1,62.6,22.0,40.2,17.9,58.7,15.0,53.7,53.7,45.6,58.3,53.7,53.7,7.7,53.7,22.1
federgolo,3.3,45.4,38.1,9.4,21.9,24.7,23.4,16.6,46.6,17.2,91.5,19.6,39.5,60.5,37.3,24.5,32.5,28.3,25.6,15.7,12.3,12.3,13.8,24.1,12.3,12.3,17.6,12.3,25.2
jaleonro,2.7,22.1,85.6,2.7,23.0,45.1,20.8,21.4,36.1,8.9,19.6,99.6,19.7,28.0,33.8,30.0,48.7,56.4,14.6,37.9,17.8,17.8,15.1,10.3,17.8,17.8,52.7,17.8,31.2
jsalcinar,4.5,29.1,20.4,61.5,40.4,14.1,20.3,45.4,21.8,27.4,39.5,19.7,86.2,47.4,30.2,43.0,19.8,40.0,27.2,14.1,39.7,39.7,36.4,32.2,39.7,39.7,15.8,39.7,44.0
nviverosb,3.8,21.1,57.3,34.2,47.9,50.6,72.9,19.1,56.3,59.1,60.5,28.0,47.4,84.6,57.7,81.7,19.7,68.1,41.6,16.5,28.5,28.5,28.7,36.0,28.5,28.5,31.1,28.5,82.8
olimita,6.8,53.7,66.5,19.8,44.8,45.1,58.8,22.2,74.6,62.6,37.3,33.8,30.2,57.7,98.3,27.3,54.6,24.7,27.7,16.0,54.7,54.7,46.5,66.4,54.7,54.7,30.3,54.7,27.8
sebcamacho1703,8.6,61.3,37.5,6.5,51.0,29.0,34.5,8.3,45.8,22.0,24.5,30.0,43.0,81.7,27.3,92.1,50.8,73.9,18.9,15.6,53.6,53.6,45.4,26.0,53.6,53.6,26.0,53.6,91.8
serbatero,1.8,19.9,59.1,10.7,23.3,41.6,45.1,34.5,58.1,40.2,32.5,48.7,19.8,19.7,54.6,50.8,54.1,34.8,28.9,16.8,9.1,9.1,6.8,43.6,9.1,9.1,43.4,9.1,27.1
yaochoal,6.1,52.6,58.1,5.8,44.8,42.6,37.0,12.8,56.3,17.9,28.3,56.4,40.0,68.1,24.7,73.9,34.8,99.6,20.5,25.8,45.4,45.4,38.7,23.6,45.4,45.4,42.0,45.4,78.7
diefrodriguezcha,26.3,33.3,56.0,15.4,13.7,38.5,50.6,31.7,52.8,58.7,25.6,14.6,27.2,41.6,27.7,18.9,28.9,20.5,39.7,16.0,18.0,18.0,20.3,46.8,18.0,12.7,10.9,12.7,19.0
Anvido,5.0,13.7,37.8,34.2,17.5,21.3,10.4,22.4,17.4,15.0,15.7,37.9,14.1,16.5,16.0,15.6,16.8,25.8,16.0,100.0,20.5,20.5,18.6,10.3,20.5,20.5,20.6,20.5,16.5
Caadiazsi,53.5,34.5,28.2,38.8,28.5,27.7,53.7,35.0,32.2,53.7,12.3,17.8,39.7,28.5,54.7,53.6,9.1,45.4,18.0,20.5,100.0,100.0,46.9,0.0,100.0,100.0,25.1,100.0,54.7
DavidsMartinez,53.5,34.5,28.2,38.8,28.5,27.7,53.7,35.0,32.2,53.7,12.3,17.8,39.7,28.5,54.7,53.6,9.1,45.4,18.0,20.5,100.0,100.0,46.9,0.0,100.0,100.0,25.1,100.0,54.7
Gusgal03,35.1,30.1,22.3,18.5,42.9,23.7,45.2,33.9,26.2,45.6,13.8,15.1,36.4,28.7,46.5,45.4,6.8,38.7,20.3,18.6,46.9,46.9,100.0,0.0,46.9,46.9,20.2,46.9,46.4
Ozai98,11.9,8.6,18.4,60.7,33.7,12.7,13.5,57.6,24.0,58.3,24.1,10.3,32.2,36.0,66.4,26.0,43.6,23.6,46.8,10.3,0.0,0.0,0.0,100.0,0.0,0.0,10.3,0.0,26.8
Sariilan,53.5,34.5,28.2,27.7,51.6,27.7,53.7,10.2,32.2,53.7,12.3,17.8,39.7,28.5,54.7,53.6,9.1,45.4,18.0,20.5,100.0,100.0,46.9,0.0,100.0,100.0,25.1,100.0,54.7
facuellarg,53.5,34.5,28.2,27.7,51.6,27.7,53.7,10.2,30.8,53.7,12.3,17.8,39.7,28.5,54.7,53.6,9.1,45.4,12.7,20.5,100.0,100.0,46.9,0.0,100.0,100.0,25.1,100.0,54.7
garayf,2.3,21.7,41.3,2.1,23.4,29.4,14.3,20.0,31.5,7.7,17.6,52.7,15.8,31.1,30.3,26.0,43.4,42.0,10.9,20.6,25.1,25.1,20.2,10.3,25.1,25.1,100.0,25.1,26.9
jssanchezo,53.5,34.5,28.2,27.7,51.6,27.7,53.7,10.2,30.8,53.7,12.3,17.8,39.7,28.5,54.7,53.6,9.1,45.4,12.7,20.5,100.0,100.0,46.9,0.0,100.0,100.0,25.1,100.0,54.7
xFortich,8.6,61.1,38.5,6.9,52.4,29.9,34.8,8.5,47.3,22.1,25.2,31.2,44.0,82.8,27.8,91.8,27.1,78.7,19.0,16.5,54.7,54.7,46.4,26.8,54.7,54.7,26.9,54.7,99.9
