,Alekzu,Biopeligro,DiegoAraque1207,GabrielUnal,Gavnic,Joacampora,Juankmilo97,Jufcardenasmo,bsdiaza,casc3798,federgolo,jaleonro,jsalcinar,nviverosb,olimita,sebcamacho1703,serbatero,yaochoal,diefrodriguezcha
Alekzu,99.8,6.0,22.6,25.4,17.6,28.5,18.1,26.2,28.2,17.7,17.8,16.7,21.5,24.3,18.5,17.6,17.2,27.8,25.5
Biopeligro,6.0,0.0,5.7,25.0,0.0,7.1,4.7,29.8,24.1,3.5,3.4,0.0,0.0,32.8,7.9,0.0,3.5,39.4,29.1
DiegoAraque1207,22.6,5.7,28.5,27.0,21.5,32.7,23.1,33.9,35.7,25.3,25.7,21.7,27.6,29.4,19.3,27.8,21.9,32.1,30.5
GabrielUnal,25.4,25.0,27.0,23.4,13.9,19.6,20.0,31.0,32.5,20.7,21.7,22.0,26.3,26.8,24.1,27.3,18.2,33.4,24.6
Gavnic,17.6,0.0,21.5,13.9,0.0,28.1,17.2,25.2,17.7,18.8,19.0,0.0,0.0,25.5,22.8,0.0,17.6,24.8,17.7
Joacampora,28.5,7.1,32.7,19.6,28.1,33.1,22.4,30.4,32.3,25.8,26.1,25.0,31.1,27.3,27.8,30.5,21.3,32.5,28.6
Juankmilo97,18.1,4.7,23.1,20.0,17.2,22.4,26.4,26.0,24.7,19.5,19.4,18.3,21.7,25.7,22.0,22.0,17.7,25.8,24.5
Jufcardenasmo,26.2,29.8,33.9,31.0,25.2,30.4,26.0,52.2,29.6,27.7,28.2,25.3,31.0,33.0,30.3,5.7,26.0,47.4,34.9
bsdiaza,28.2,24.1,35.7,32.5,17.7,32.3,24.7,29.6,87.6,14.6,14.6,24.3,25.5,23.6,25.3,6.2,9.3,47.6,14.1
casc3798,17.7,3.5,25.3,20.7,18.8,25.8,19.5,27.7,14.6,25.1,21.1,18.9,15.8,26.5,22.9,21.0,19.6,26.7,19.6
federgolo,17.8,3.4,25.7,21.7,19.0,26.1,19.4,28.2,14.6,21.1,100.0,19.7,15.5,26.0,26.4,21.7,20.1,29.2,19.1
jaleonro,16.7,0.0,21.7,22.0,0.0,25.0,18.3,25.3,24.3,18.9,19.7,0.0,0.0,24.3,20.3,0.0,16.1,25.4,23.2
jsalcinar,21.5,0.0,27.6,26.3,0.0,31.1,21.7,31.0,25.5,15.8,15.5,0.0,0.0,30.5,25.5,0.0,15.2,31.7,27.6
nviverosb,24.3,32.8,29.4,26.8,25.5,27.3,25.7,33.0,23.6,26.5,26.0,24.3,30.5,100.0,27.8,5.1,24.3,44.3,37.9
olimita,18.5,7.9,19.3,24.1,22.8,27.8,22.0,30.3,25.3,22.9,26.4,20.3,25.5,27.8,100.0,17.5,20.8,34.7,29.5
sebcamacho1703,17.6,0.0,27.8,27.3,0.0,30.5,22.0,5.7,6.2,21.0,21.7,0.0,0.0,5.1,17.5,0.0,19.4,5.9,29.6
serbatero,17.2,3.5,21.9,18.2,17.6,21.3,17.7,26.0,9.3,19.6,20.1,16.1,15.2,24.3,20.8,19.4,87.7,21.6,16.2
yaochoal,27.8,39.4,32.1,33.4,24.8,32.5,25.8,47.4,47.6,26.7,29.2,25.4,31.7,44.3,34.7,5.9,21.6,100.0,34.4
diefrodriguezcha,25.5,29.1,30.5,24.6,17.7,28.6,24.5,34.9,14.1,19.6,19.1,23.2,27.6,37.9,29.5,29.6,16.2,34.4,0.0
